,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-906,7227,-7825,7817,-7775,-2330,-34186,34186,-45487,46153,1441,-1985,489,-3661,15302,-10117,9116,-8985,-6022,7212,-6506,6232,-1075,5828,2235,-9606,-7026,7842,-933,-23022,22092,-30086,26823,4193,-8547,14279,-4329,1351,-3840,2686
Babylon,0,0,75,-75,75,0,-360,360,-360,360,0,0,0,0,-75,75,-75,75,0,-75,75,-75,75,0,0,-75,75,-75,75,-360,360,-360,92,268,-268,130,138,-138,-90,228
Baghdad,0,-72,137,-167,167,0,-717,717,-731,731,0,0,0,0,-65,65,-137,137,0,-65,65,-65,65,0,0,-65,65,-65,65,-590,590,-667,94,573,-590,152,438,-463,-110,573
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,0,0,0,0,0,-22,22,-22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,22,-22,0,22,-22,0,22,-22,0,22
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,0,0,0,0,320,-320,320,-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-58,58,-58,0,0,0,0,0,0,0
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,0,0,-56,56,0,99,-99,99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,-138,138,-211,73,-73,5,68,-73,0,73
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,0,-184,184,-422,422,0,-939,939,-939,939,0,0,0,0,0,0,-184,184,0,0,0,0,0,0,0,0,0,0,0,-874,874,-939,302,637,-874,405,469,-617,-20,637
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
