,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-73,-481,511,-713,676,284,-1567,1579,-1584,1662,-32,-11,50,-398,-157,156,-227,250,-52,-12,105,-180,509,-20,-22,-322,-46,20,347,-1504,1492,-1531,234,1352,-1509,395,1067,-1067,-206,1309
Babylon,15,145,-410,330,-320,263,-21,12,-12,49,4,-43,39,-310,274,-279,403,-403,16,262,-268,268,1,-15,0,16,-234,232,-19,11,-58,58,50,-36,36,20,-374,374,0,-119
Baghdad,16,-11,17,-14,16,-7,-23,26,-26,5,0,9,-9,26,-25,25,-26,26,-2,-20,22,-25,1,0,0,15,20,-43,25,-20,22,-22,-8,29,-31,8,23,-23,-5,28
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,5,-4,4,1,-3,1,-2,2,-2,-2,-3,7,-4,-10,15,-15,13,-9,-4,15,-15,15,-8,0,0,8,6,-6,-2,2,0,-3,4,-1,-1,2,-3,3,0,-3
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,-11,5,-3,11,-7,7,-7,6,0,1,-1,-12,11,-11,12,-12,8,3,-6,6,1,0,0,-1,-5,5,-6,1,6,-6,0,-2,2,0,-4,4,0,-4
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,-9,-117,403,-620,618,-271,-445,462,-469,412,-10,-2,28,289,-266,250,-278,335,-53,-236,255,-261,-56,18,5,11,253,-238,147,-567,454,-463,71,553,-569,7,588,-588,20,542
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,1,18,3,-32,6,16,-32,31,-30,23,-5,12,-8,35,-15,15,-17,8,59,-71,51,-52,-19,-1,6,-4,93,-92,12,-31,31,-33,1,16,-16,9,16,-16,-7,17
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
