,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-3240,-5428,1191,-4919,9306,2910,-21478,23174,-24001,22478,184,118,-806,-9328,5303,-3958,1558,-697,-4627,6862,-5863,6318,5424,49,-3,-4265,-13530,11840,3747,-17569,18725,-19282,3965,16553,-18684,4894,12070,-12449,-978,13624
Babylon,0,-5,590,-604,604,-584,0,9,-9,-2,0,17,4,566,-586,586,-586,586,10,-596,596,-596,0,0,0,0,596,-596,488,-487,0,0,0,490,-490,8,576,-576,-8,584
Baghdad,-1165,-1961,1924,-2108,1732,-839,-1322,748,-748,4443,1,-1049,1117,-2103,-1539,1667,-1736,1736,-128,-1483,1483,-1499,3533,0,0,-2318,480,-1623,279,-1254,1561,-1568,185,1819,-1830,220,1709,-1709,-14,1723
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-12,12,-12,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,-160,-405,1580,-1775,1772,-318,-1668,1570,-1610,1447,-48,99,2,681,-1512,1489,-1580,1492,154,-1542,1503,-1514,709,-60,-32,-541,1480,-1516,1081,-1709,1645,-1682,131,1304,-1344,65,1561,-1561,-19,1580
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,-7,-13,104,-193,181,-24,-187,159,-159,170,-8,-5,16,52,-95,95,-95,95,0,-95,95,-95,32,-4,-9,-17,93,-93,65,-199,186,-186,-6,207,-207,0,214,-214,0,214
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,-123,123,-123,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,-7,-1165,794,-714,174,548,-142,148,317,-15,-242,193,-1123,1298,-1298,1295,-1290,-13,1306,-1291,1286,-139,26,-6,64,-1219,1231,-1396,1019,-821,814,-38,-668,678,-104,-1068,1072,2,-874
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-9,0,0,0,0,0,0,0,0,0,0
Salahal Din,-517,-1078,1156,-1609,2152,355,-3292,3501,-3579,3718,87,82,101,-1304,-819,719,-983,900,125,-612,590,-606,1591,-57,-195,-1103,489,-676,1107,-2890,2912,-2954,324,2510,-2724,468,2277,-2281,-127,2403
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
