,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-15,-44,-53,43,-47,71,-78,80,-80,87,5,-4,-1,-69,58,-54,58,-64,-62,131,-117,110,36,3,1,-5,-177,155,-51,-29,51,-61,36,-7,0,-3,2,-2,2,6
Babylon,-1,-1,-2,0,0,5,-4,5,-5,4,0,0,0,-3,1,0,0,-3,5,-2,0,0,2,-1,0,0,3,-5,-1,0,4,-4,-1,1,0,-2,1,-1,0,1
Baghdad,2,1,12,-13,14,6,-15,9,-9,-4,-1,3,0,15,-18,18,-17,13,2,-16,19,-19,0,0,0,0,20,-20,22,-17,18,-18,0,18,-18,-2,12,-12,2,18
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,5,2,-5,2,-1,6,-9,8,-7,6,0,3,0,-1,0,-2,2,-7,13,-8,3,-3,-6,0,0,4,11,-9,-2,-4,10,-11,-1,6,-5,-1,6,-6,0,6
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,-6,-13,-5,8,-8,12,0,-4,7,-3,2,-5,-1,7,-9,4,-5,-6,21,-17,13,-11,14,0,1,-8,7,-16,4,-1,3,-2,-1,-1,2,-5,0,0,3,-3
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,-25,-2,-63,45,-44,81,-9,-11,26,-9,12,-45,4,-3,30,-12,17,-88,64,17,-24,21,8,7,-1,-19,-25,28,-71,61,10,-4,-4,-61,58,-8,-41,44,8,-49
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,-28,-30,87,-87,85,1,-64,62,-47,22,-29,10,2,66,-102,107,-109,93,30,-110,92,-101,40,2,1,-18,90,-98,71,-81,80,-84,-7,93,-91,-8,122,-121,-2,126
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
