,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-2,-66,-126,103,-103,-24,-45,138,-138,135,128,-125,0,-73,152,-148,126,-126,-416,577,-167,144,60,-5,8,-7,-644,633,-207,4,-4,-7,120,-113,113,2,-91,97,0,-112
Babylon,0,-5,-72,73,-73,0,71,-71,73,-73,76,-76,0,0,72,-72,72,-72,0,73,-73,72,4,0,1,0,-77,73,-73,73,-73,73,0,-73,73,0,-73,73,0,-73
Baghdad,-1,2,-17,17,-17,0,17,-19,20,-20,15,-15,0,2,17,-17,17,-17,-8,19,-11,17,-4,0,3,-1,-23,19,-11,16,-16,16,-1,-15,15,2,-17,15,0,-15
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,-11,-1526,5874,-5893,5574,-1600,-5220,5284,-5440,4304,-173,646,-595,4012,-6732,6726,-6753,6438,493,-6409,6272,-6295,1802,-108,-204,-491,7235,-7337,2305,-5051,4557,-4454,453,4930,-5208,859,5092,-5319,-161,4775
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,3,-3,3,-3,0,2,-2,2,-2,0,0,0,0,3,-3,3,-3,0,3,-3,3,-3,0,0,3,-3,3,-3,2,-2,2,1,-3,3,0,-3,3,0,-3
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,-1,50,-158,161,-157,-19,128,-129,142,-143,162,-162,0,22,153,-153,153,-158,-1,159,-138,138,-13,-11,-25,57,-167,159,-173,157,-157,155,9,-164,159,17,-157,155,0,-162
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
