,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,1830,387,-12890,3549,-10175,-747,-2368,5747,-6070,6604,-264,-467,1131,-14878,7860,-14699,6793,-13256,-4271,9432,-16045,8593,-1164,-6,-42,1687,-19683,11551,-5024,-785,1010,-1709,1659,-5290,189,3616,-9460,841,393,-8061
Babylon,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
Baghdad,33,449,-477,393,-475,2,884,-884,884,-884,0,0,0,8,378,-457,378,-460,0,111,-190,378,-465,0,0,93,-92,111,-198,824,-824,884,-135,-744,708,-344,-475,383,220,-685
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,115,-206,103,-206,91,109,-109,109,-109,0,0,0,-89,103,-204,103,-206,0,103,-204,103,-115,0,0,0,-89,103,-115,109,-109,109,0,-109,12,6,-206,103,0,-206
Erbil,-8,-69,6602,-6602,6602,-6550,2098,-2099,1454,-1451,-7,4,18,6267,-6321,6451,-6451,6587,-266,-6299,6299,-6299,40,0,0,-115,6314,-6314,104,2050,-2050,2084,-2125,4804,-2480,-2349,5984,-5984,0,5984
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,22,-22,22,-22,0,914,-914,378,-378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,-942,914,-208,-706,942,-609,-333,433,248,-681
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,144,4436,-9061,13647,-9487,7181,2996,-2315,2586,-2092,-64,-470,545,-6276,11887,-10211,11637,-9779,-111,10860,-9055,10779,-2347,155,153,2092,-9166,10809,-3717,3247,-3456,3138,4185,-6575,7501,4510,-10809,15616,-1485,-9815
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,53,-360,2425,-3240,325,-793,13,-71,-267,410,-95,-35,158,2681,-3663,2813,-3754,2346,1492,-4483,2862,-3663,40,4,13,-24,3649,-4489,489,-572,571,-369,-196,-995,420,-234,274,-844,10,254
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
