,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,8,-50,1763,8170,1812,7043,-526,481,-536,550,-2,-10,15,1688,7503,1677,8018,1731,-5,7473,1699,7403,-13,1,3,-8,1648,7514,27,-493,492,-498,76,2161,4435,356,1867,7630,-276,2145
Babylon,0,3,-83,-122,7,-212,8,-8,8,0,7,-8,1,-87,-119,-74,-122,-71,2,-125,-62,-135,17,0,-2,-13,-94,-100,8,0,0,0,-1,0,-205,-1,7,-212,0,15
Baghdad,0,30,-10,55,-11,-33,26,-21,21,-21,1,-1,0,19,50,26,46,16,25,30,40,32,4,0,-4,0,73,36,1,23,-25,25,0,-10,90,1,-7,57,-1,-5
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,1,0,60,50,36,-54,-1,-2,-4,3,1,0,0,94,13,71,40,62,72,-24,119,-8,4,0,1,-3,128,-19,22,-16,3,-3,0,34,42,-1,32,51,0,34
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,3,2794,-87,2798,-91,6,-3,2,-2,0,0,-1,2653,-62,2660,-74,2792,-28,-57,2637,-50,-3,0,0,1,2644,-56,18,-17,20,-19,-1,3029,-86,1,2799,-92,0,2796
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,51,-37,-3029,-9946,-3356,-9707,502,-408,412,-183,-131,-16,72,102,-10172,-62,-10165,-65,7,-10178,-47,-10254,-253,-13,72,133,-305,-10073,-785,837,-439,433,10,-3656,-9335,-57,-3623,-9448,16,-3583
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,25,-30,7650,689,7579,725,-18,16,-19,25,1,-6,2,7519,696,7513,718,7646,62,658,7569,660,-3,0,1,-1,7549,663,14,-40,46,-46,19,7513,571,1,7580,594,0,7510
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
