,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-150,-1098,-1381,-18480,-863,-18605,-5987,5962,-6344,6425,34,-125,33,-5070,-15780,-3460,-17057,-3080,-2106,-15131,-5143,-15546,300,19,53,-253,-5638,-15163,40,-5392,5445,-5787,1792,2002,-19054,2646,-479,-18880,-1528,1234
Babylon,0,3,47,121,47,114,2,-2,-6,6,0,0,0,50,112,47,110,47,0,113,47,112,-3,0,0,4,46,114,-4,3,-3,2,-2,50,122,0,47,121,-3,50
Baghdad,-10,11,-2,-210,-1,-236,-176,180,-192,188,-8,12,-4,-56,-194,-45,-190,-45,-24,-170,-67,-170,1,0,0,-1,-54,-210,13,-173,173,-175,130,28,-226,44,-1,-215,1,3
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,-25,-115,2647,-3950,2350,-3619,-1012,990,-1123,829,66,53,6,2791,-4224,2764,-4116,2799,70,-4174,2837,-4224,-43,191,-20,-97,2884,-4297,365,-1058,1074,-1157,361,1546,-2489,484,1785,-3064,-121,1426
Erbil,0,0,0,0,0,0,5,-5,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,5,-5,0,0,-5,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,-313,1459,-7928,-10810,-7248,-11486,6756,-6474,7494,-7060,1,-461,170,-9138,-8177,-8809,-9594,-8529,-2520,-7619,-10300,-7638,-467,-554,298,-83,-9816,-7516,-899,5880,-5671,6096,-1262,-8122,-13858,-2373,-6635,-13385,703,-7558
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,50,426,-2520,5835,-2501,5382,1355,-1314,1353,-1231,-17,-90,12,-1994,6121,-2573,5970,-2598,-140,6141,-2527,6102,-510,17,42,124,-2340,6295,-509,1304,-1334,1327,-227,-2723,5827,-275,-2553,5825,30,-2658
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,185,-165,41,-16282,-1250,-14806,-4022,3935,-4011,2821,159,450,-14,-42,-16697,809,-16811,119,76,-16348,650,-16793,-13,279,-175,1,148,-16315,1531,-3788,3630,-3925,1545,-2595,-12516,1807,-2685,-13681,-787,-2441
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
