,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-11,-58,87,17779,112,19128,-114,114,-115,126,-1,-6,6,-12,18806,65,18609,84,-25,19033,13,18987,66,0,-10,-8,-3,19096,15,-118,112,-112,34,141,14907,7,122,17370,0,130
Babylon,0,3,-4,28,-4,25,2,-2,2,-2,-1,1,0,1,26,-4,28,-4,3,25,-2,26,-4,0,1,0,2,26,-3,2,-2,2,1,-3,27,0,-4,28,0,-4
Baghdad,1,-2,-2,230,-2,236,-1,1,-1,4,0,-2,0,-2,225,-3,229,-2,7,221,-1,223,2,0,0,0,4,215,-1,-1,0,0,0,-2,201,-1,-2,225,0,-2
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,1,0,1281,0,1595,-1,1,-1,1,0,0,0,6,1325,-1,1280,0,6,1357,4,1353,-3,0,1,0,10,1354,-1,0,-1,-2,4,1,800,0,0,1255,0,0
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,-3,-8,21,16251,28,13867,-22,23,-24,24,-1,1,0,1,15716,17,15865,20,10,15246,15,15450,14,0,-10,1,20,14789,12,-23,22,-22,0,28,19583,-1,29,17556,0,29
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,7,-17,104,4544,98,3736,-49,56,-57,73,8,-21,22,123,4402,126,4449,101,66,4260,139,4383,13,-4,-7,7,166,4152,3,-75,38,-35,31,127,4891,5,122,4654,0,120
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,-2,-13,37,8552,43,9827,-25,24,-24,29,0,-4,3,16,8472,31,8511,29,19,8606,45,8567,23,-2,-3,-6,41,8585,21,-40,34,-34,3,48,6973,1,44,8633,0,46
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
