,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,0,-14,-110,46,-79,108,-69,77,-104,132,11,-20,7,-125,61,-150,62,-140,21,79,-96,32,6,0,0,-55,-156,67,-43,-28,38,-44,46,-36,-42,37,-76,20,-6,-70
Babylon,0,0,0,9,0,6,0,0,0,0,0,0,0,0,9,0,9,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,9,0,0
Baghdad,0,-6,-3,16,-3,15,-11,11,-11,9,0,2,0,-11,16,-3,16,-3,0,18,-8,16,5,0,0,1,-10,18,-1,-7,11,-11,-2,22,2,-2,1,15,0,1
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,-1,-27,0,15,5,22,-29,32,-32,40,0,-4,0,-24,16,0,15,0,0,15,-1,16,28,0,0,-19,-17,15,10,-24,26,-26,2,21,-1,4,6,15,0,6
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,-20,30,79,36,105,-30,32,-32,33,0,1,0,9,80,26,80,26,0,85,22,80,15,0,0,-10,20,85,5,-27,30,-30,1,44,57,6,37,79,0,37
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,-105,1230,506,1257,482,49,-26,21,36,4,-31,8,1154,501,1171,503,1178,419,94,1607,82,44,0,0,-38,1552,66,-78,131,-96,85,24,1379,392,-19,1172,493,19,1144
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,0,-13,-23,63,-19,60,-14,14,-14,23,0,-5,0,-31,63,-23,63,-24,-2,67,-25,65,14,0,0,-9,-29,67,-1,-12,12,-13,7,-4,47,6,-20,63,0,-20
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
