,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-3,-54,-20,-280,-18,-291,-112,114,-116,116,0,0,0,-93,-200,-89,-205,-32,-66,-169,-118,-190,4,0,0,1,-123,-94,-3,-112,112,-112,4,49,-289,33,5,-276,0,32
Babylon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baghdad,0,0,-13,4,-13,17,0,0,0,0,0,0,0,-13,6,-13,6,-13,0,11,-13,7,0,0,0,0,-13,11,0,0,0,0,0,-13,-3,0,-13,3,0,-13
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,0,-21,7,-21,22,0,0,0,0,0,0,0,-21,13,-21,13,-21,0,14,-21,13,0,0,0,0,-21,24,0,0,0,0,0,-21,6,0,-21,7,0,-21
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,-26,-56,-26,-39,-3,3,-3,3,0,0,0,-26,-46,-28,-46,-28,0,-42,-26,-45,0,0,0,0,-26,-41,0,-3,3,-3,3,-23,-47,3,-26,-57,0,-26
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-7,7,-7,0,0,0,0,0,0,0,0
Ninewa,-4,-17,11152,-12631,10852,-12572,65,-98,-129,88,106,-131,15,11236,-12653,11119,-12660,11246,136,-12667,11019,-12666,-64,-5,70,0,11144,-12637,626,-708,706,-664,1,11307,-12685,-77,10909,-12463,13,11247
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,0,0,35,-52,36,-38,0,0,0,0,0,0,0,35,-48,35,-47,35,0,-48,35,-49,0,0,0,0,35,-45,0,0,0,0,0,27,-50,0,36,-52,0,27
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
