,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,13,-1,414,744,454,489,310,-171,171,-51,0,-108,108,288,844,354,767,375,-129,924,157,924,-47,35,0,13,111,929,-142,310,-310,310,0,549,628,-4,497,662,0,490
Babylon,0,0,13,5,10,0,5,-5,5,-5,0,0,0,20,5,13,5,13,0,5,15,5,-5,5,0,0,14,5,-1,5,-5,5,0,10,5,0,10,5,0,10
Baghdad,0,0,59,14,58,14,0,0,0,0,0,0,0,64,14,62,14,61,0,14,70,14,0,0,0,0,76,14,5,0,0,0,0,58,14,0,58,14,0,58
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,0,36,8,37,8,0,0,0,0,0,0,0,40,8,39,8,38,0,8,42,8,0,0,0,0,46,8,1,0,0,0,0,34,8,0,36,8,0,36
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,12,-63,464,-58,206,354,-349,774,-601,38,-124,86,5,466,-72,466,-74,0,464,-65,464,-12,0,0,12,-87,464,-124,341,-343,393,-85,6,332,50,-63,464,0,-58
Missan,0,0,0,0,0,4,-4,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,4,-4,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,155,2397,-23572,14090,-23518,9799,23622,-23555,29146,-23488,1613,-3226,363,-17366,14186,-23405,14225,-23622,-574,14656,-23425,14458,-3074,368,457,430,-22321,14757,-12082,15599,-18937,23102,-11030,-24137,15758,-2278,-23263,13833,160,-23483
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,30,254,-1285,1112,-1280,250,1078,-874,1166,-934,103,-315,70,-629,1011,-1165,1028,-1163,-30,973,-1131,977,-156,54,20,37,-1063,958,-926,909,-1089,1089,0,-1197,1021,0,-1282,1105,0,-1282
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
