,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-37,-93,47,-857,51,-837,-376,371,-371,335,4,15,-11,-185,-680,17,-806,25,-153,-640,-13,-667,183,5,7,-158,-435,-591,1010,-474,363,-372,40,102,-944,55,63,-904,-9,95
Babylon,0,0,-15,-14,-15,-11,0,0,0,0,0,0,0,-15,-16,-15,-14,-15,2,-16,-15,-16,0,0,0,0,-15,-15,-4,0,0,0,0,-15,-11,0,-15,-11,0,-15
Baghdad,0,0,-62,-54,-62,-53,-4,3,-3,1,-1,2,-1,-63,-59,-62,-57,-62,15,-71,-62,-65,0,0,0,0,-62,-71,-1,-7,4,-4,0,-62,-53,0,-62,-53,0,-62
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,0,-33,-35,-33,-36,-2,2,-2,2,0,0,0,-33,-39,-33,-38,-33,8,-45,-33,-41,0,0,0,0,-33,-45,-1,-4,2,-2,1,-32,-34,2,-33,-35,0,-33
Erbil,0,0,15,0,15,0,0,0,0,0,0,0,0,15,0,15,0,15,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,15,0,0,15
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,5,14,-318,-265,-316,-269,7,-11,14,-55,1,-4,1,-282,-259,-312,-262,-312,13,-273,-292,-283,-24,5,-3,16,-289,-260,-165,-36,-5,6,-10,-332,-245,-17,-321,-261,4,-326
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,18,63,-2355,9881,-2382,3417,240,-234,234,-190,1,-30,15,-2234,9713,-2331,9672,-2345,-48,9613,-2296,9636,-67,-4,2,45,-2334,9626,-452,4975,-239,242,-30,-2407,10567,-43,-2383,9971,3,-2404
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,0,0,4111,211,4111,68,-1,1,-1,2,0,-1,2,4063,192,4105,203,4111,23,169,4002,196,0,0,0,0,3557,169,1139,241,2,-2,-2,4115,213,4,4111,215,0,4111
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
