,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-200,159,2677,-128,2849,876,-1088,2792,-1098,2080,0,-110,0,2475,-83,2567,-14,2807,-190,-90,2825,-76,288,0,0,-210,2864,175,1879,-1055,2798,-1088,15,3832,-303,170,3678,-304,0,3783
Babylon,0,0,142,11,157,11,0,62,0,59,0,0,0,164,10,149,11,148,1,10,164,10,0,0,0,0,162,10,36,0,37,0,0,188,11,0,191,11,0,191
Baghdad,0,-12,415,-155,425,-151,0,98,0,112,0,0,0,424,-171,421,-164,422,30,-185,462,-173,12,0,0,0,466,-197,92,3,89,0,0,440,-88,0,532,-155,0,529
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,-114,457,-415,515,-470,-522,288,-522,357,0,0,0,179,-432,415,-429,433,27,-442,408,-433,175,0,0,-85,92,-157,180,-545,295,-522,0,666,-474,0,688,-470,0,675
Erbil,0,0,-15,0,-15,0,-15,15,-15,15,0,0,0,-15,0,-15,0,-15,0,0,-15,0,0,0,0,0,-15,0,0,-15,15,-15,0,0,-15,15,-15,0,0,-15
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,100,36,-584,-632,-584,-220,2321,-2336,3135,-3047,-112,-305,0,-372,-368,-767,-623,-540,-912,366,-1212,-31,-137,0,0,221,-1691,365,-181,-968,-1248,2130,-1673,-822,-494,-710,-851,-475,0,-851
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,274,-10,2455,-15,2134,1514,-1299,1537,-1288,0,0,0,372,2272,301,2305,249,0,2254,358,2264,16,0,0,0,339,2247,155,526,-989,1530,-389,-806,2486,-70,-792,2446,-3,-788
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,80,4884,-18406,-10832,-18149,-14526,18076,-23563,19293,-18742,748,-1484,450,-6031,-12455,-12523,-11496,-13839,909,-11405,-9350,-12848,-2246,3953,0,-1171,-10605,-11203,-11120,207,-22101,17588,-2605,-23574,-15826,916,-21959,-16480,1629,-22249
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
