,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,80,-38,-5554,-6955,-5258,-7091,-9829,-382,-9900,-26,61,-259,20,-7342,-4596,-7563,-4864,-6129,-1412,-4775,-7788,-4785,-161,56,109,46,-7854,-4656,-3172,-8813,-1412,-9494,1276,-5148,-8207,866,-5694,-7692,-283,-5384
Babylon,27,17,-51,-262,8,-374,-255,-5,-230,-106,9,10,-12,-284,-38,-349,8,-349,55,-46,-318,-41,-38,1,-9,17,-285,-57,53,-269,42,-264,23,1,-391,31,-20,-382,-4,-21
Baghdad,32,244,-196,-1216,-204,-1343,-885,-587,-857,-567,22,-22,-3,-38,-1113,-224,-1079,-162,122,-1346,69,-1314,-118,-5,-6,55,117,-1359,-77,-1008,-469,-987,14,-441,-1243,-114,-314,-1277,34,-399
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,62,-99,1186,-1649,1169,-931,-824,666,-530,143,18,136,-3,1064,-1908,1379,-1804,1333,1528,-3189,1639,-2082,146,-67,53,-96,2746,-3161,616,-1003,837,-1052,54,854,-1468,101,868,-1499,-4,824
Erbil,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,77,1440,76,841,15,2,15,2,0,0,0,77,1461,77,1461,77,0,1466,85,1461,0,0,0,0,80,1461,2,2263,2,15,0,107,2262,0,156,1552,0,158
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,-49,10,362,-2322,252,-2319,-1788,-225,-1758,-159,79,-125,33,674,-2885,461,-2545,462,308,-2869,713,-2859,101,-39,7,-63,724,-2874,-193,-904,-182,-1844,29,709,-1477,46,735,-1556,-9,722
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,54,-24,-65,21581,-301,9300,1974,-39,2022,-73,-14,44,22,1331,14827,1301,15224,766,1113,12852,1576,12865,78,-19,-19,-2,1589,12849,191,18736,127,1694,30,627,29390,-31,-309,30209,5,-352
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
