,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-2,-29,98,9735,121,8669,8509,164,8514,214,4,-29,0,45,9716,54,9758,66,-80,9651,-2,9721,40,-2,0,-30,-40,9575,68,8711,162,8574,33,60,9361,53,27,9694,-13,53
Babylon,0,0,20,185,25,192,178,6,180,6,0,0,0,20,162,21,160,20,1,166,21,167,1,-1,0,0,21,166,1,163,6,176,0,8,184,0,16,184,0,16
Baghdad,0,0,3,1240,4,937,1372,6,1383,7,0,-1,0,5,1082,4,1158,3,0,1013,4,1058,0,0,0,0,4,1008,3,1352,6,1357,0,6,1396,2,4,1303,-2,6
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,0,0,27,424,27,449,409,8,406,8,0,0,0,26,422,25,427,25,0,424,26,425,0,0,0,0,26,423,7,416,8,414,1,28,436,1,24,435,0,24
Erbil,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,0,31,-178,32,-171,-70,44,-68,43,0,-1,0,13,-170,23,-170,24,10,-181,25,-180,11,-11,0,0,28,-180,18,-122,44,-70,15,-38,-151,21,-47,-203,0,-47
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,0,-7,2129,1388,2108,1327,1729,650,1735,690,9,-62,6,2532,1403,2427,1438,2088,9,1390,2633,1401,4,-7,1,0,2672,1382,600,1392,636,1730,13,1841,1332,20,2060,1389,0,2060
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,0,0,-2,3564,4,3614,3494,30,3495,30,0,0,0,-6,3489,-5,3571,-7,0,3512,-5,3495,1,-1,0,0,-4,3518,13,3568,34,3527,15,20,3591,15,21,3565,0,21
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
