,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Anbar,-15,-66,82,-15,87,25,-82,49,-117,374,24,-49,25,57,34,77,32,74,-78,115,55,71,65,1,7,-68,1,151,-174,138,-11,-53,61,122,-191,44,64,-65,-11,81
Babylon,0,0,0,4,0,10,6,0,6,0,0,0,0,0,9,0,9,0,0,9,0,9,0,0,0,0,0,9,0,17,0,6,0,0,4,0,0,4,0,0
Baghdad,0,-1,7,-1,7,2,-15,16,-15,16,0,0,0,4,0,7,0,7,0,0,7,0,12,0,0,-11,6,1,10,-7,16,-15,0,7,-7,0,3,-1,0,3
Basrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diyala,-12,-10,26,-33,26,-26,-37,34,-33,39,0,5,0,20,-35,27,-34,26,2,-34,26,-35,25,-2,-2,-12,26,-34,35,-23,39,-36,0,26,-45,6,18,-34,0,18
Erbil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerbala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkuk,0,-1,80,-14,80,0,-71,95,-71,102,0,0,0,83,-13,82,-11,80,7,-15,83,-13,6,0,0,-5,88,-15,83,-14,90,-66,6,87,-19,-4,83,12,0,83
Missan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muthanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninewa,-9,-135,833,-2544,840,-2384,-1375,775,-1338,741,-6,12,0,522,-2852,637,-2705,831,293,-2837,569,-2849,215,14,-29,-180,539,-2831,900,-999,886,-1466,-211,686,-2447,-142,1106,-3106,45,1029
Qadissiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salahal Din,-29,-3,80,-47,83,-14,-101,100,-96,90,-4,14,0,63,-39,81,-39,80,1,-39,81,-39,53,-7,0,-46,81,-39,84,-63,101,-101,2,53,-70,0,28,-25,0,28
Sulaymaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thi Qar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
