Week starting,Baghdad,Anbar
29-Dec-13,56,86
5-Jan-14,87,45
12-Jan-14,158,66
19-Jan-14,58,44
26-Jan-14,93,33
2-Feb-14,97,10
9-Feb-14,30,40
16-Feb-14,70,31
23-Feb-14,85,30
2-Mar-14,64,59
9-Mar-14,49,52
16-Mar-14,39,50
23-Mar-14,63,42
30-Mar-14,21,45
6-Apr-14,52,48
13-Apr-14,54,71
20-Apr-14,92,41
27-Apr-14,28,36
4-May-14,50,104
11-May-14,86,42
18-May-14,94,41
25-May-14,83,61
1-Jun-14,133,110
8-Jun-14,98,34
15-Jun-14,74,67
22-Jun-14,50,76
29-Jun-14,38,47
6-Jul-14,91,80
13-Jul-14,101,86
20-Jul-14,90,39
27-Jul-14,97,50
3-Aug-14,89,39
10-Aug-14,77,58
17-Aug-14,63,61
24-Aug-14,151,97
31-Aug-14,80,98
7-Sep-14,68,41
14-Sep-14,88,52
21-Sep-14,78,59
28-Sep-14,85,43
5-Oct-14,93,53
12-Oct-14,181,6
19-Oct-14,137,31
26-Oct-14,81,541
2-Nov-14,114,275
9-Nov-14,99,139
16-Nov-14,48,58
23-Nov-14,63,108
30-Nov-14,88,58
7-Dec-14,33,52
14-Dec-14,48,216
21-Dec-14,40,79
28-Dec-14,38,73
4-Jan-15,63,80
11-Jan-15,46,55
18-Jan-15,46,61
25-Jan-15,96,38
1-Feb-15,82,173
8-Feb-15,79,64
15-Feb-15,44,387
22-Feb-15,85,120
1-Mar-15,62,47
8-Mar-15,62,45
15-Mar-15,67,54
22-Mar-15,74,41
29-Mar-15,68,75
5-Apr-15,41,454
12-Apr-15,99,117
19-Apr-15,63,105
26-Apr-15,130,39
3-May-15,88,28
10-May-15,53,244
17-May-15,49,166
24-May-15,62,32
31-May-15,54,109
7-Jun-15,65,27
14-Jun-15,47,56
21-Jun-15,71,116
28-Jun-15,58,147
5-Jul-15,75,237
12-Jul-15,75,116
19-Jul-15,85,78
26-Jul-15,42,67
2-Aug-15,57,48
9-Aug-15,135,28
16-Aug-15,37,22
23-Aug-15,46,25
30-Aug-15,59,24
6-Sep-15,45,18
13-Sep-15,61,38
20-Sep-15,52,5
27-Sep-15,72,65
4-Oct-15,67,139
11-Oct-15,51,62
18-Oct-15,56,24
25-Oct-15,81,
1-Nov-15,55,7
8-Nov-15,88,8
15-Nov-15,48,20
22-Nov-15,59,30
29-Nov-15,45,23
6-Dec-15,58,28
13-Dec-15,52,12
20-Dec-15,48,81
27-Dec-15,40,66
3-Jan-16,58,59
10-Jan-16,74,21
17-Jan-16,50,40
24-Jan-16,52,47
31-Jan-16,71,77
7-Feb-16,46,7
14-Feb-16,51,95
21-Feb-16,56,33
28-Feb-16,128,41
6-Mar-16,71,120
13-Mar-16,40,18
20-Mar-16,46,4
27-Mar-16,46,70
3-Apr-16,60,50
10-Apr-16,44,19
17-Apr-16,49,77
24-Apr-16,39,23
1-May-16,53,10
8-May-16,144,24
15-May-16,129,16
22-May-16,44,41
29-May-16,58,105
5-Jun-16,64,140
12-Jun-16,51,60
19-Jun-16,38,51
26-Jun-16,53,42
3-Jul-16,423,24
10-Jul-16,70,5
17-Jul-16,42,3
24-Jul-16,60,9
31-Jul-16,49,60
7-Aug-16,36,7
14-Aug-16,50,30
21-Aug-16,76,14
28-Aug-16,58,13
4-Sep-16,99,1
11-Sep-16,52,16
18-Sep-16,42,13
25-Sep-16,89,5
2-Oct-16,61,6
9-Oct-16,92,8
16-Oct-16,39,3
23-Oct-16,45,9
30-Oct-16,54,4
6-Nov-16,48,4
13-Nov-16,44,44
20-Nov-16,39,5
27-Nov-16,18,52
4-Dec-16,34,132
11-Dec-16,18,9
18-Dec-16,22,7
25-Dec-16,61,4
