Week starting,Babylon,Basrah
29-Dec-13,9,1
5-Jan-14,4,
12-Jan-14,2,1
19-Jan-14,3,2
26-Jan-14,6,
2-Feb-14,21,3
9-Feb-14,9,
16-Feb-14,73,2
23-Feb-14,3,1
2-Mar-14,23,1
9-Mar-14,48,3
16-Mar-14,18,3
23-Mar-14,1,2
30-Mar-14,14,1
6-Apr-14,11,1
13-Apr-14,16,9
20-Apr-14,29,4
27-Apr-14,7,
4-May-14,11,2
11-May-14,27,1
18-May-14,9,2
25-May-14,9,9
1-Jun-14,41,1
8-Jun-14,2,5
15-Jun-14,2,
22-Jun-14,159,1
29-Jun-14,32,2
6-Jul-14,42,1
13-Jul-14,7,1
20-Jul-14,16,4
27-Jul-14,3,
3-Aug-14,3,4
10-Aug-14,3,
17-Aug-14,10,1
24-Aug-14,14,
31-Aug-14,4,2
7-Sep-14,3,4
14-Sep-14,8,
21-Sep-14,16,
28-Sep-14,13,
5-Oct-14,2,1
12-Oct-14,45,3
19-Oct-14,22,1
26-Oct-14,28,
2-Nov-14,7,3
9-Nov-14,2,2
16-Nov-14,9,1
23-Nov-14,12,1
30-Nov-14,5,
7-Dec-14,4,
14-Dec-14,37,
21-Dec-14,17,3
28-Dec-14,4,7
4-Jan-15,25,
11-Jan-15,8,1
18-Jan-15,9,1
25-Jan-15,14,2
1-Feb-15,6,2
8-Feb-15,8,1
15-Feb-15,,1
22-Feb-15,17,3
1-Mar-15,5,1
8-Mar-15,8,1
15-Mar-15,3,11
22-Mar-15,4,2
29-Mar-15,6,1
5-Apr-15,4,5
12-Apr-15,7,1
19-Apr-15,2,1
26-Apr-15,7,1
3-May-15,3,
10-May-15,3,1
17-May-15,1,4
24-May-15,3,3
31-May-15,11,2
7-Jun-15,15,3
14-Jun-15,10,
21-Jun-15,7,3
28-Jun-15,8,3
5-Jul-15,1,1
12-Jul-15,8,
19-Jul-15,4,7
26-Jul-15,5,3
2-Aug-15,5,
9-Aug-15,11,8
16-Aug-15,11,2
23-Aug-15,7,5
30-Aug-15,1,1
6-Sep-15,5,
13-Sep-15,8,1
20-Sep-15,11,
27-Sep-15,8,3
4-Oct-15,12,12
11-Oct-15,11,
18-Oct-15,12,
25-Oct-15,4,3
1-Nov-15,6,
8-Nov-15,9,2
15-Nov-15,24,
22-Nov-15,3,1
29-Nov-15,5,
6-Dec-15,9,3
13-Dec-15,11,5
20-Dec-15,3,1
27-Dec-15,4,2
3-Jan-16,15,1
10-Jan-16,6,
17-Jan-16,11,1
24-Jan-16,8,
31-Jan-16,5,
7-Feb-16,12,2
14-Feb-16,6,
21-Feb-16,6,
28-Feb-16,10,1
6-Mar-16,68,
13-Mar-16,6,3
20-Mar-16,46,6
27-Mar-16,6,1
3-Apr-16,6,5
10-Apr-16,8,2
17-Apr-16,16,
24-Apr-16,7,2
1-May-16,7,
8-May-16,6,4
15-May-16,10,1
22-May-16,7,3
29-May-16,14,
5-Jun-16,8,
12-Jun-16,8,1
19-Jun-16,8,1
26-Jun-16,9,3
3-Jul-16,7,1
10-Jul-16,2,
17-Jul-16,4,
24-Jul-16,5,
31-Jul-16,5,1
7-Aug-16,11,
14-Aug-16,8,1
21-Aug-16,6,
28-Aug-16,4,
4-Sep-16,5,2
11-Sep-16,4,1
18-Sep-16,7,
25-Sep-16,6,2
2-Oct-16,9,1
9-Oct-16,6,
16-Oct-16,6,2
23-Oct-16,7,
30-Oct-16,3,
6-Nov-16,6,
13-Nov-16,29,
20-Nov-16,105,
27-Nov-16,3,
4-Dec-16,2,1
11-Dec-16,6,1
18-Dec-16,1,1
25-Dec-16,,
