Week starting,Dahuk,Diyala
29-Dec-13,,34
5-Jan-14,,25
12-Jan-14,,49
19-Jan-14,,22
26-Jan-14,,15
2-Feb-14,1,34
9-Feb-14,,25
16-Feb-14,,11
23-Feb-14,,48
2-Mar-14,,32
9-Mar-14,,27
16-Mar-14,,33
23-Mar-14,,21
30-Mar-14,,16
6-Apr-14,,39
13-Apr-14,,15
20-Apr-14,,14
27-Apr-14,,77
4-May-14,,22
11-May-14,,20
18-May-14,,22
25-May-14,,27
1-Jun-14,,23
8-Jun-14,,59
15-Jun-14,,72
22-Jun-14,,19
29-Jun-14,,34
6-Jul-14,,89
13-Jul-14,,57
20-Jul-14,,23
27-Jul-14,,71
3-Aug-14,,19
10-Aug-14,,45
17-Aug-14,,99
24-Aug-14,,12
31-Aug-14,,26
7-Sep-14,,26
14-Sep-14,,26
21-Sep-14,,15
28-Sep-14,,10
5-Oct-14,,28
12-Oct-14,,57
19-Oct-14,,20
26-Oct-14,,13
2-Nov-14,,15
9-Nov-14,,16
16-Nov-14,,12
23-Nov-14,,8
30-Nov-14,,8
7-Dec-14,,63
14-Dec-14,,27
21-Dec-14,,51
28-Dec-14,,49
4-Jan-15,,19
11-Jan-15,,48
18-Jan-15,,23
25-Jan-15,,80
1-Feb-15,,15
8-Feb-15,,17
15-Feb-15,,16
22-Feb-15,,75
1-Mar-15,,48
8-Mar-15,,15
15-Mar-15,,13
22-Mar-15,,25
29-Mar-15,,25
5-Apr-15,,14
12-Apr-15,,19
19-Apr-15,,46
26-Apr-15,,13
3-May-15,,99
10-May-15,,23
17-May-15,,14
24-May-15,,20
31-May-15,,35
7-Jun-15,,25
14-Jun-15,,16
21-Jun-15,,25
28-Jun-15,,22
5-Jul-15,,25
12-Jul-15,,135
19-Jul-15,,33
26-Jul-15,,25
2-Aug-15,,30
9-Aug-15,,113
16-Aug-15,,17
23-Aug-15,1,5
30-Aug-15,,24
6-Sep-15,,20
13-Sep-15,,24
20-Sep-15,,17
27-Sep-15,,17
4-Oct-15,,68
11-Oct-15,,24
18-Oct-15,,29
25-Oct-15,,13
1-Nov-15,,21
8-Nov-15,,25
15-Nov-15,,17
22-Nov-15,,18
29-Nov-15,,11
6-Dec-15,,16
13-Dec-15,,11
20-Dec-15,,14
27-Dec-15,,16
3-Jan-16,,15
10-Jan-16,,77
17-Jan-16,,14
24-Jan-16,,13
31-Jan-16,,25
7-Feb-16,,19
14-Feb-16,,19
21-Feb-16,,20
28-Feb-16,,48
6-Mar-16,,23
13-Mar-16,,14
20-Mar-16,1,19
27-Mar-16,,19
3-Apr-16,,15
10-Apr-16,,10
17-Apr-16,2,15
24-Apr-16,,38
1-May-16,,20
8-May-16,,33
15-May-16,,23
22-May-16,,14
29-May-16,,63
5-Jun-16,,22
12-Jun-16,,11
19-Jun-16,,15
26-Jun-16,,16
3-Jul-16,,29
10-Jul-16,,15
17-Jul-16,,15
24-Jul-16,,34
31-Jul-16,,24
7-Aug-16,1,24
14-Aug-16,,19
21-Aug-16,,9
28-Aug-16,,17
4-Sep-16,,12
11-Sep-16,,21
18-Sep-16,,17
25-Sep-16,,12
2-Oct-16,,11
9-Oct-16,,27
16-Oct-16,,9
23-Oct-16,,19
30-Oct-16,,15
6-Nov-16,,16
13-Nov-16,,12
20-Nov-16,,10
27-Nov-16,1,6
4-Dec-16,,4
11-Dec-16,,7
18-Dec-16,,15
25-Dec-16,,16
