Week starting,Najaf,Ninewa
29-Dec-13,,32
5-Jan-14,,27
12-Jan-14,,20
19-Jan-14,,43
26-Jan-14,,15
2-Feb-14,,29
9-Feb-14,,20
16-Feb-14,,21
23-Feb-14,,48
2-Mar-14,,15
9-Mar-14,,9
16-Mar-14,,32
23-Mar-14,,38
30-Mar-14,,27
6-Apr-14,,47
13-Apr-14,,28
20-Apr-14,,34
27-Apr-14,,10
4-May-14,,36
11-May-14,,43
18-May-14,,23
25-May-14,,47
1-Jun-14,6,129
8-Jun-14,,734
15-Jun-14,,65
22-Jun-14,,102
29-Jun-14,,22
6-Jul-14,,28
13-Jul-14,,45
20-Jul-14,,24
27-Jul-14,,81
3-Aug-14,,960
10-Aug-14,,266
17-Aug-14,,481
24-Aug-14,,213
31-Aug-14,,181
7-Sep-14,6,95
14-Sep-14,,7
21-Sep-14,,14
28-Sep-14,,17
5-Oct-14,,66
12-Oct-14,,22
19-Oct-14,,31
26-Oct-14,,21
2-Nov-14,,13
9-Nov-14,,23
16-Nov-14,,44
23-Nov-14,,16
30-Nov-14,,17
7-Dec-14,,4
14-Dec-14,,108
21-Dec-14,,48
28-Dec-14,,21
4-Jan-15,,55
11-Jan-15,,36
18-Jan-15,,136
25-Jan-15,,60
1-Feb-15,,31
8-Feb-15,,62
15-Feb-15,,20
22-Feb-15,,61
1-Mar-15,,100
8-Mar-15,,46
15-Mar-15,,25
22-Mar-15,,20
29-Mar-15,,16
5-Apr-15,,83
12-Apr-15,,66
19-Apr-15,,148
26-Apr-15,,36
3-May-15,,26
10-May-15,1,72
17-May-15,,46
24-May-15,,32
31-May-15,,27
7-Jun-15,,81
14-Jun-15,,43
21-Jun-15,,216
28-Jun-15,,58
5-Jul-15,,89
12-Jul-15,,45
19-Jul-15,,179
26-Jul-15,,95
2-Aug-15,,521
9-Aug-15,,241
16-Aug-15,,77
23-Aug-15,,144
30-Aug-15,,207
6-Sep-15,,192
13-Sep-15,,113
20-Sep-15,,93
27-Sep-15,,115
4-Oct-15,,87
11-Oct-15,,63
18-Oct-15,,65
25-Oct-15,,129
1-Nov-15,,27
8-Nov-15,1,239
15-Nov-15,,92
22-Nov-15,,86
29-Nov-15,,71
6-Dec-15,,41
13-Dec-15,,77
20-Dec-15,,118
27-Dec-15,,293
3-Jan-16,,241
10-Jan-16,,133
17-Jan-16,,77
24-Jan-16,,72
31-Jan-16,,49
7-Feb-16,,102
14-Feb-16,,141
21-Feb-16,,95
28-Feb-16,,183
6-Mar-16,1,114
13-Mar-16,,234
20-Mar-16,,74
27-Mar-16,,101
3-Apr-16,,142
10-Apr-16,3,121
17-Apr-16,,141
24-Apr-16,,141
1-May-16,,129
8-May-16,,81
15-May-16,,128
22-May-16,,59
29-May-16,,152
5-Jun-16,,141
12-Jun-16,,126
19-Jun-16,,15
26-Jun-16,,111
3-Jul-16,,52
10-Jul-16,,62
17-Jul-16,,41
24-Jul-16,,139
31-Jul-16,,42
7-Aug-16,,128
14-Aug-16,,190
21-Aug-16,,171
28-Aug-16,,68
4-Sep-16,,50
11-Sep-16,,33
18-Sep-16,,125
25-Sep-16,,109
2-Oct-16,,95
9-Oct-16,,98
16-Oct-16,,390
23-Oct-16,,746
30-Oct-16,,258
6-Nov-16,,306
13-Nov-16,,243
20-Nov-16,,212
27-Nov-16,,126
4-Dec-16,,125
11-Dec-16,1,187
18-Dec-16,,116
25-Dec-16,,145
