Week starting,Qadissiya,Salahal Din
29-Dec-13,,13
5-Jan-14,,46
12-Jan-14,1,38
19-Jan-14,,38
26-Jan-14,,20
2-Feb-14,,52
9-Feb-14,,29
16-Feb-14,,73
23-Feb-14,,43
2-Mar-14,,41
9-Mar-14,,42
16-Mar-14,,66
23-Mar-14,,40
30-Mar-14,,30
6-Apr-14,,37
13-Apr-14,,36
20-Apr-14,,34
27-Apr-14,,27
4-May-14,,29
11-May-14,,22
18-May-14,,45
25-May-14,,26
1-Jun-14,,51
8-Jun-14,,1277
15-Jun-14,,470
22-Jun-14,,53
29-Jun-14,2,57
6-Jul-14,,108
13-Jul-14,,56
20-Jul-14,,156
27-Jul-14,,68
3-Aug-14,,44
10-Aug-14,,25
17-Aug-14,,52
24-Aug-14,,56
31-Aug-14,,117
7-Sep-14,6,87
14-Sep-14,,49
21-Sep-14,,101
28-Sep-14,,60
5-Oct-14,,68
12-Oct-14,,91
19-Oct-14,,20
26-Oct-14,,39
2-Nov-14,1,62
9-Nov-14,,39
16-Nov-14,,47
23-Nov-14,,38
30-Nov-14,,19
7-Dec-14,,65
14-Dec-14,,45
21-Dec-14,,21
28-Dec-14,,87
4-Jan-15,,71
11-Jan-15,,52
18-Jan-15,,71
25-Jan-15,1,99
1-Feb-15,,27
8-Feb-15,,36
15-Feb-15,,20
22-Feb-15,,123
1-Mar-15,,29
8-Mar-15,,21
15-Mar-15,,40
22-Mar-15,,33
29-Mar-15,,21
5-Apr-15,,40
12-Apr-15,,26
19-Apr-15,,329
26-Apr-15,,8
3-May-15,,8
10-May-15,,49
17-May-15,,13
24-May-15,,12
31-May-15,,11
7-Jun-15,,8
14-Jun-15,,17
21-Jun-15,,13
28-Jun-15,,3
5-Jul-15,,131
12-Jul-15,,25
19-Jul-15,,24
26-Jul-15,,14
2-Aug-15,,4
9-Aug-15,,18
16-Aug-15,,12
23-Aug-15,,55
30-Aug-15,,24
6-Sep-15,,64
13-Sep-15,,201
20-Sep-15,,10
27-Sep-15,,21
4-Oct-15,,28
11-Oct-15,,47
18-Oct-15,,21
25-Oct-15,,9
1-Nov-15,,12
8-Nov-15,,17
15-Nov-15,,8
22-Nov-15,,16
29-Nov-15,,8
6-Dec-15,,11
13-Dec-15,1,6
20-Dec-15,,4
27-Dec-15,,4
3-Jan-16,,22
10-Jan-16,,18
17-Jan-16,,10
24-Jan-16,,31
31-Jan-16,,11
7-Feb-16,,11
14-Feb-16,1,6
21-Feb-16,,4
28-Feb-16,,2
6-Mar-16,,12
13-Mar-16,,6
20-Mar-16,,5
27-Mar-16,,13
3-Apr-16,,3
10-Apr-16,,17
17-Apr-16,,24
24-Apr-16,,17
1-May-16,1,4
8-May-16,,24
15-May-16,,33
22-May-16,,5
29-May-16,,12
5-Jun-16,,14
12-Jun-16,,46
19-Jun-16,,5
26-Jun-16,,16
3-Jul-16,,46
10-Jul-16,,8
17-Jul-16,,24
24-Jul-16,,9
31-Jul-16,,2
7-Aug-16,,1
14-Aug-16,,17
21-Aug-16,,5
28-Aug-16,,44
4-Sep-16,,11
11-Sep-16,1,15
18-Sep-16,,37
25-Sep-16,,7
2-Oct-16,,29
9-Oct-16,,19
16-Oct-16,,8
23-Oct-16,,3
30-Oct-16,,17
6-Nov-16,,44
13-Nov-16,,9
20-Nov-16,,
27-Nov-16,,25
4-Dec-16,,1
11-Dec-16,,7
18-Dec-16,,3
25-Dec-16,,2
