Week starting,Sulaymaniyah,Kirkuk
29-Dec-13,2,
5-Jan-14,,6
12-Jan-14,,7
19-Jan-14,1,6
26-Jan-14,,6
2-Feb-14,,1
9-Feb-14,4,6
16-Feb-14,,8
23-Feb-14,,5
2-Mar-14,,11
9-Mar-14,,5
16-Mar-14,,6
23-Mar-14,,6
30-Mar-14,,6
6-Apr-14,,8
13-Apr-14,,16
20-Apr-14,,15
27-Apr-14,,9
4-May-14,11,2
11-May-14,,6
18-May-14,1,16
25-May-14,,1
1-Jun-14,,21
8-Jun-14,,16
15-Jun-14,,40
22-Jun-14,,19
29-Jun-14,,
6-Jul-14,,31
13-Jul-14,,2
20-Jul-14,,20
27-Jul-14,1,13
3-Aug-14,,11
10-Aug-14,,62
17-Aug-14,,25
24-Aug-14,,26
31-Aug-14,,17
7-Sep-14,,14
14-Sep-14,,19
21-Sep-14,,2
28-Sep-14,,12
5-Oct-14,,6
12-Oct-14,,1
19-Oct-14,,2
26-Oct-14,,3
2-Nov-14,,2
9-Nov-14,,1
16-Nov-14,,2
23-Nov-14,,1
30-Nov-14,,22
7-Dec-14,,24
14-Dec-14,,26
21-Dec-14,,3
28-Dec-14,,4
4-Jan-15,,2
11-Jan-15,,
18-Jan-15,,5
25-Jan-15,,10
1-Feb-15,,12
8-Feb-15,,17
15-Feb-15,,15
22-Feb-15,,1
1-Mar-15,,35
8-Mar-15,,58
15-Mar-15,,3
22-Mar-15,,4
29-Mar-15,,9
5-Apr-15,,5
12-Apr-15,,10
19-Apr-15,,29
26-Apr-15,,
3-May-15,,4
10-May-15,1,8
17-May-15,,15
24-May-15,,5
31-May-15,,74
7-Jun-15,,41
14-Jun-15,,14
21-Jun-15,,2
28-Jun-15,,3
5-Jul-15,1,41
12-Jul-15,,1
19-Jul-15,,3
26-Jul-15,,9
2-Aug-15,,60
9-Aug-15,4,4
16-Aug-15,,23
23-Aug-15,,4
30-Aug-15,,1
6-Sep-15,,45
13-Sep-15,,
20-Sep-15,,8
27-Sep-15,1,17
4-Oct-15,4,52
11-Oct-15,,1
18-Oct-15,1,15
25-Oct-15,1,4
1-Nov-15,,2
8-Nov-15,,15
15-Nov-15,,1
22-Nov-15,,11
29-Nov-15,,10
6-Dec-15,,7
13-Dec-15,,22
20-Dec-15,,29
27-Dec-15,,4
3-Jan-16,,8
10-Jan-16,,11
17-Jan-16,,3
24-Jan-16,,25
31-Jan-16,,5
7-Feb-16,,11
14-Feb-16,,34
21-Feb-16,,60
28-Feb-16,,16
6-Mar-16,2,30
13-Mar-16,,47
20-Mar-16,,10
27-Mar-16,,2
3-Apr-16,,4
10-Apr-16,,5
17-Apr-16,,3
24-Apr-16,,8
1-May-16,,5
8-May-16,,24
15-May-16,,2
22-May-16,,6
29-May-16,,7
5-Jun-16,,14
12-Jun-16,,3
19-Jun-16,,12
26-Jun-16,,
3-Jul-16,,37
10-Jul-16,,11
17-Jul-16,,2
24-Jul-16,,8
31-Jul-16,,122
7-Aug-16,,46
14-Aug-16,,35
21-Aug-16,,65
28-Aug-16,1,18
4-Sep-16,,7
11-Sep-16,,30
18-Sep-16,,7
25-Sep-16,,8
2-Oct-16,,80
9-Oct-16,,18
16-Oct-16,,46
23-Oct-16,2,11
30-Oct-16,,32
6-Nov-16,,35
13-Nov-16,,18
20-Nov-16,,
27-Nov-16,,7
4-Dec-16,,18
11-Dec-16,,59
18-Dec-16,,19
25-Dec-16,,12
