Week starting,Thi Qar,Wassit
29-Dec-13,,
5-Jan-14,1,2
12-Jan-14,,
19-Jan-14,,
26-Jan-14,,
2-Feb-14,,
9-Feb-14,1,2
16-Feb-14,,
23-Feb-14,,
2-Mar-14,1,
9-Mar-14,,
16-Mar-14,,6
23-Mar-14,,1
30-Mar-14,,2
6-Apr-14,,6
13-Apr-14,6,1
20-Apr-14,,13
27-Apr-14,2,
4-May-14,,
11-May-14,2,
18-May-14,1,
25-May-14,1,
1-Jun-14,1,
8-Jun-14,,1
15-Jun-14,,
22-Jun-14,,
29-Jun-14,2,
6-Jul-14,1,
13-Jul-14,,
20-Jul-14,,
27-Jul-14,,
3-Aug-14,,
10-Aug-14,,
17-Aug-14,,
24-Aug-14,6,
31-Aug-14,,
7-Sep-14,,6
14-Sep-14,,
21-Sep-14,,
28-Sep-14,,
5-Oct-14,,
12-Oct-14,,2
19-Oct-14,,1
26-Oct-14,1,
2-Nov-14,,3
9-Nov-14,,
16-Nov-14,,
23-Nov-14,,
30-Nov-14,,
7-Dec-14,1,
14-Dec-14,,
21-Dec-14,,
28-Dec-14,1,
4-Jan-15,,
11-Jan-15,,
18-Jan-15,,
25-Jan-15,,
1-Feb-15,,2
8-Feb-15,,
15-Feb-15,,
22-Feb-15,,
1-Mar-15,,
8-Mar-15,,
15-Mar-15,,
22-Mar-15,,
29-Mar-15,2,
5-Apr-15,1,
12-Apr-15,,
19-Apr-15,,
26-Apr-15,,
3-May-15,,
10-May-15,2,
17-May-15,,
24-May-15,3,2
31-May-15,,
7-Jun-15,1,
14-Jun-15,,1
21-Jun-15,,1
28-Jun-15,,
5-Jul-15,1,1
12-Jul-15,,
19-Jul-15,,
26-Jul-15,2,
2-Aug-15,,
9-Aug-15,,
16-Aug-15,,
23-Aug-15,,
30-Aug-15,1,
6-Sep-15,2,
13-Sep-15,,4
20-Sep-15,1,
27-Sep-15,,
4-Oct-15,,1
11-Oct-15,1,
18-Oct-15,,
25-Oct-15,2,
1-Nov-15,,
8-Nov-15,,
15-Nov-15,,
22-Nov-15,,
29-Nov-15,,
6-Dec-15,2,
13-Dec-15,,
20-Dec-15,,
27-Dec-15,,
3-Jan-16,,
10-Jan-16,,
17-Jan-16,,
24-Jan-16,,
31-Jan-16,,
7-Feb-16,,
14-Feb-16,2,
21-Feb-16,1,
28-Feb-16,,
6-Mar-16,1,
13-Mar-16,,
20-Mar-16,,
27-Mar-16,,
3-Apr-16,2,
10-Apr-16,,
17-Apr-16,,
24-Apr-16,,
1-May-16,,
8-May-16,,
15-May-16,,
22-May-16,,
29-May-16,,
5-Jun-16,,
12-Jun-16,,
19-Jun-16,,
26-Jun-16,,
3-Jul-16,,
10-Jul-16,,1
17-Jul-16,,
24-Jul-16,,
31-Jul-16,,
7-Aug-16,,
14-Aug-16,,
21-Aug-16,,
28-Aug-16,,
4-Sep-16,,
11-Sep-16,2,
18-Sep-16,1,
25-Sep-16,,
2-Oct-16,,
9-Oct-16,,
16-Oct-16,,
23-Oct-16,6,1
30-Oct-16,,
6-Nov-16,,
13-Nov-16,,
20-Nov-16,,
27-Nov-16,,
4-Dec-16,,
11-Dec-16,,
18-Dec-16,,
25-Dec-16,,
