gov,Date,temp,precip,death,ArGov_sentPos,ArGov_sentNeg,Gov_eventsAll,ArGov_insVioMin_buzz,death_lag,temp_lag,precip_lag,events_lag,sentPos_lag_ar,sentNeg_lag_ar,insVioMin_buzz_lag,death_diff,sentPos_diff_ar,sentNeg_diff_ar,events_diff,insVioMin_buzz_diff
Anbar,2015-02-12,56.64183673469387,0.001224489795918367,209,2967,5113,59,308.0,83.0,50.92755102040817,0.00020408163265306123,62.0,3307.0,4137.0,133.0,126.0,-340.0,976.0,-3.0,175.0
Babylon,2015-02-12,58.939285714285724,0.002857142857142857,2,83,49,2,9.0,7.0,54.24107142857143,0.0,3.0,54.0,11.0,0.0,-5.0,29.0,38.0,-1.0,9.0
Baghdad,2015-02-12,58.294444444444444,0.0,235,1431,1489,365,93.0,163.0,52.73095238095237,0.0013492063492063493,259.0,1518.0,1936.0,69.0,72.0,-87.0,-447.0,106.0,24.0
Basrah,2015-02-12,64.00204081632654,0.00040816326530612246,3,148,682,12,5.0,3.0,56.08979591836735,0.00489795918367347,13.0,157.0,134.0,21.0,0.0,-9.0,548.0,-1.0,-16.0
Thi Qar,2015-02-12,62.89428571428572,0.0018571428571428571,0,0,0,8,0.0,0.0,56.17,0.002285714285714286,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Diyala,2015-02-12,58.277380952380945,0.006666666666666667,13,553,571,31,16.0,91.0,53.52738095238095,0.005595238095238096,42.0,344.0,885.0,16.0,-78.0,209.0,-314.0,-11.0,0.0
Dahuk,2015-02-12,51.03035714285714,0.0032142857142857147,0,56,82,1,3.0,0.0,48.19642857142857,0.053392857142857145,6.0,40.0,9.0,2.0,0.0,16.0,73.0,-5.0,1.0
Erbil,2015-02-12,50.03571428571428,0.027023809523809523,1,533,721,43,29.0,1.0,47.12142857142857,0.041785714285714294,55.0,567.0,1022.0,26.0,0.0,-34.0,-301.0,-12.0,3.0
Sulaymaniyah,2015-02-12,49.99571428571428,0.038714285714285715,0,1100,325,9,421.0,0.0,46.05142857142857,0.03792857142857142,13.0,473.0,403.0,295.0,0.0,627.0,-78.0,-4.0,126.0
Kerbala,2015-02-12,59.11428571428572,0.002857142857142857,0,68,102,5,0.0,0.0,53.64285714285715,0.0,4.0,75.0,47.0,0.0,0.0,-7.0,55.0,1.0,0.0
Kirkuk,2015-02-12,54.260714285714286,0.0071428571428571435,28,554,1517,83,61.0,12.0,50.51071428571429,0.0062499999999999995,8.0,65.0,108.0,3.0,16.0,489.0,1409.0,75.0,58.0
Missan,2015-02-12,62.95119047619049,0.0033333333333333335,0,114,39,2,15.0,2.0,54.852380952380955,0.022380952380952383,0.0,92.0,39.0,2.0,-2.0,22.0,0.0,2.0,13.0
Muthanna,2015-02-12,61.864285714285714,0.008571428571428572,0,31,43,0,1.0,0.0,54.699999999999996,0.0,1.0,105.0,66.0,1.0,0.0,-74.0,-23.0,-1.0,0.0
Najaf,2015-02-12,60.35000000000001,0.011428571428571429,0,51,24,5,6.0,0.0,54.307142857142864,0.0,5.0,45.0,16.0,3.0,0.0,6.0,8.0,0.0,3.0
Ninewa,2015-02-12,50.97321428571429,0.002321428571428572,95,2196,2616,43,230.0,194.0,47.97946428571429,0.045892857142857145,56.0,4197.0,2396.0,254.0,-99.0,-2001.0,220.0,-13.0,-24.0
Qadissiya,2015-02-12,61.20178571428571,0.005,0,56,29,0,1.0,0.0,55.48035714285714,0.0,0.0,30.0,31.0,2.0,0.0,26.0,-2.0,0.0,-1.0
Salahal Din,2015-02-12,57.41938775510204,0.006428571428571429,110,450,1457,61,33.0,118.0,52.885714285714286,0.003367346938775511,29.0,235.0,337.0,11.0,-8.0,215.0,1120.0,32.0,22.0
Wassit,2015-02-12,61.121428571428574,0.009571428571428573,3,269,475,2,22.0,0.0,55.152857142857144,0.00014285714285714287,2.0,37.0,21.0,5.0,3.0,232.0,454.0,0.0,17.0
Anbar,2015-02-26,52.88061224489796,0.02408163265306123,453,3322,4576,109,345.0,209.0,56.64183673469387,0.001224489795918367,59.0,2967.0,5113.0,308.0,244.0,355.0,-537.0,50.0,37.0
Babylon,2015-02-26,55.5125,0.011428571428571429,0,72,28,0,6.0,2.0,58.939285714285724,0.002857142857142857,2.0,83.0,49.0,9.0,-2.0,-11.0,-21.0,-2.0,-3.0
Baghdad,2015-02-26,54.028571428571425,0.02023809523809524,168,1258,1227,600,311.0,235.0,58.294444444444444,0.0,365.0,1431.0,1489.0,93.0,-67.0,-173.0,-262.0,235.0,218.0
Basrah,2015-02-26,59.332653061224484,0.012244897959183676,2,244,305,42,14.0,3.0,64.00204081632654,0.00040816326530612246,12.0,148.0,682.0,5.0,-1.0,96.0,-377.0,30.0,9.0
Thi Qar,2015-02-26,58.208571428571425,0.04842857142857144,0,0,0,1,0.0,0.0,62.89428571428572,0.0018571428571428571,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0
Diyala,2015-02-26,53.519047619047626,0.04166666666666667,26,558,184,16,59.0,13.0,58.277380952380945,0.006666666666666667,31.0,553.0,571.0,16.0,13.0,5.0,-387.0,-15.0,43.0
Dahuk,2015-02-26,46.19642857142857,0.07482142857142857,0,53,16,5,3.0,0.0,51.03035714285714,0.0032142857142857147,1.0,56.0,82.0,3.0,0.0,-3.0,-66.0,4.0,0.0
Erbil,2015-02-26,44.66785714285714,0.05107142857142858,0,576,596,68,45.0,1.0,50.03571428571428,0.027023809523809523,43.0,533.0,721.0,29.0,-1.0,43.0,-125.0,25.0,16.0
Sulaymaniyah,2015-02-26,44.95000000000001,0.08092857142857143,0,1120,384,9,453.0,0.0,49.99571428571428,0.038714285714285715,9.0,1100.0,325.0,421.0,0.0,20.0,59.0,0.0,32.0
Kerbala,2015-02-26,55.978571428571435,0.0064285714285714285,0,131,57,7,32.0,0.0,59.11428571428572,0.002857142857142857,5.0,68.0,102.0,0.0,0.0,63.0,-45.0,2.0,32.0
Kirkuk,2015-02-26,49.64107142857143,0.03232142857142857,22,250,209,20,45.0,28.0,54.260714285714286,0.0071428571428571435,83.0,554.0,1517.0,61.0,-6.0,-304.0,-1308.0,-63.0,-16.0
Missan,2015-02-26,57.31547619047618,0.05333333333333333,0,72,43,0,14.0,0.0,62.95119047619049,0.0033333333333333335,2.0,114.0,39.0,15.0,0.0,-42.0,4.0,-2.0,-1.0
Muthanna,2015-02-26,57.314285714285724,0.07214285714285715,1,66,87,0,9.0,0.0,61.864285714285714,0.008571428571428572,0.0,31.0,43.0,1.0,1.0,35.0,44.0,0.0,8.0
Najaf,2015-02-26,56.021428571428565,0.010714285714285714,0,61,93,22,2.0,0.0,60.35000000000001,0.011428571428571429,5.0,51.0,24.0,6.0,0.0,10.0,69.0,17.0,-4.0
Ninewa,2015-02-26,46.13125,0.07258928571428572,41,2089,2695,74,460.0,95.0,50.97321428571429,0.002321428571428572,43.0,2196.0,2616.0,230.0,-54.0,-107.0,79.0,31.0,230.0
Qadissiya,2015-02-26,56.83035714285715,0.01982142857142857,0,79,24,0,7.0,0.0,61.20178571428571,0.005,0.0,56.0,29.0,1.0,0.0,23.0,-5.0,0.0,6.0
Salahal Din,2015-02-26,52.69795918367348,0.0323469387755102,73,517,440,42,118.0,110.0,57.41938775510204,0.006428571428571429,61.0,450.0,1457.0,33.0,-37.0,67.0,-1017.0,-19.0,85.0
Wassit,2015-02-26,56.21714285714286,0.04042857142857143,0,76,61,5,12.0,3.0,61.121428571428574,0.009571428571428573,2.0,269.0,475.0,22.0,-3.0,-193.0,-414.0,3.0,-10.0
Anbar,2015-03-14,62.02767857142857,0.002767857142857143,145,4564,5677,90,311.0,453.0,52.88061224489796,0.02408163265306123,109.0,3322.0,4576.0,345.0,-308.0,1242.0,1101.0,-19.0,-34.0
Babylon,2015-03-14,63.346875000000004,0.0009375,77,80,58,0,12.0,0.0,55.5125,0.011428571428571429,0.0,72.0,28.0,6.0,77.0,8.0,30.0,0.0,6.0
Baghdad,2015-03-14,62.17847222222222,0.0008333333333333334,216,1941,1438,554,126.0,168.0,54.028571428571425,0.02023809523809524,600.0,1258.0,1227.0,311.0,48.0,683.0,211.0,-46.0,-185.0
Basrah,2015-03-14,66.57321428571429,0.0,4,314,257,36,30.0,2.0,59.332653061224484,0.012244897959183676,42.0,244.0,305.0,14.0,2.0,70.0,-48.0,-6.0,16.0
Thi Qar,2015-03-14,65.655,0.00125,32,0,0,0,0.0,0.0,58.208571428571425,0.04842857142857144,1.0,0.0,0.0,0.0,32.0,0.0,0.0,-1.0,0.0
Diyala,2015-03-14,62.92083333333334,0.002916666666666667,79,1293,501,16,77.0,26.0,53.519047619047626,0.04166666666666667,16.0,558.0,184.0,59.0,53.0,735.0,317.0,0.0,18.0
Dahuk,2015-03-14,52.81562500000001,0.0396875,29,55,30,15,2.0,0.0,46.19642857142857,0.07482142857142857,5.0,53.0,16.0,3.0,29.0,2.0,14.0,10.0,-1.0
Erbil,2015-03-14,52.01250000000001,0.021770833333333333,0,901,1022,68,32.0,0.0,44.66785714285714,0.05107142857142858,68.0,576.0,596.0,45.0,0.0,325.0,426.0,0.0,-13.0
Sulaymaniyah,2015-03-14,52.844375,0.04706250000000001,0,1678,807,10,772.0,0.0,44.95000000000001,0.08092857142857143,9.0,1120.0,384.0,453.0,0.0,558.0,423.0,1.0,319.0
Kerbala,2015-03-14,63.75625,0.005,0,156,86,1,4.0,0.0,55.978571428571435,0.0064285714285714285,7.0,131.0,57.0,32.0,0.0,25.0,29.0,-6.0,-28.0
Kirkuk,2015-03-14,57.965624999999996,0.01234375,3,267,512,44,27.0,22.0,49.64107142857143,0.03232142857142857,20.0,250.0,209.0,45.0,-19.0,17.0,303.0,24.0,-18.0
Missan,2015-03-14,65.48645833333333,0.0016666666666666668,0,70,45,2,9.0,0.0,57.31547619047618,0.05333333333333333,0.0,72.0,43.0,14.0,0.0,-2.0,2.0,2.0,-5.0
Muthanna,2015-03-14,65.15625,0.000625,1,65,15,0,2.0,1.0,57.314285714285724,0.07214285714285715,0.0,66.0,87.0,9.0,0.0,-1.0,-72.0,0.0,-7.0
Najaf,2015-03-14,64.45625000000001,0.0,0,77,36,10,2.0,0.0,56.021428571428565,0.010714285714285714,22.0,61.0,93.0,2.0,0.0,16.0,-57.0,-12.0,0.0
Ninewa,2015-03-14,52.68984375000001,0.03453125,96,5613,3073,173,367.0,41.0,46.13125,0.07258928571428572,74.0,2089.0,2695.0,460.0,55.0,3524.0,378.0,99.0,-93.0
Qadissiya,2015-03-14,64.72812499999999,0.0,0,135,18,2,0.0,0.0,56.83035714285715,0.01982142857142857,0.0,79.0,24.0,7.0,0.0,56.0,-6.0,2.0,-7.0
Salahal Din,2015-03-14,61.54821428571429,0.0069642857142857145,142,3822,2536,459,394.0,73.0,52.69795918367348,0.0323469387755102,42.0,517.0,440.0,118.0,69.0,3305.0,2096.0,417.0,276.0
Wassit,2015-03-14,64.10625,0.00025,0,197,69,2,19.0,0.0,56.21714285714286,0.04042857142857143,5.0,76.0,61.0,12.0,0.0,121.0,8.0,-3.0,7.0
Anbar,2015-03-26,64.14642857142857,0.06095238095238095,87,2940,3844,76,58.0,145.0,62.02767857142857,0.002767857142857143,90.0,4564.0,5677.0,311.0,-58.0,-1624.0,-1833.0,-14.0,-253.0
Babylon,2015-03-26,64.76250000000002,0.059166666666666666,0,117,38,2,1.0,77.0,63.346875000000004,0.0009375,0.0,80.0,58.0,12.0,-77.0,37.0,-20.0,2.0,-11.0
Baghdad,2015-03-26,64.28981481481482,0.0625,157,1205,1253,287,55.0,216.0,62.17847222222222,0.0008333333333333334,554.0,1941.0,1438.0,126.0,-59.0,-736.0,-185.0,-267.0,-71.0
Basrah,2015-03-26,69.54642857142859,0.6904761904761902,13,253,254,6,14.0,4.0,66.57321428571429,0.0,36.0,314.0,257.0,30.0,9.0,-61.0,-3.0,-30.0,-16.0
Thi Qar,2015-03-26,68.73166666666667,0.013333333333333336,4,0,0,0,0.0,32.0,65.655,0.00125,0.0,0.0,0.0,0.0,-28.0,0.0,0.0,0.0,0.0
Diyala,2015-03-26,64.80416666666667,0.05472222222222222,16,556,265,7,96.0,79.0,62.92083333333334,0.002916666666666667,16.0,1293.0,501.0,77.0,-63.0,-737.0,-236.0,-9.0,19.0
Dahuk,2015-03-26,53.66041666666666,0.033541666666666664,0,32,16,7,2.0,29.0,52.81562500000001,0.0396875,15.0,55.0,30.0,2.0,-29.0,-23.0,-14.0,-8.0,0.0
Erbil,2015-03-26,52.54583333333332,0.18013888888888888,0,492,631,59,18.0,0.0,52.01250000000001,0.021770833333333333,68.0,901.0,1022.0,32.0,0.0,-409.0,-391.0,-9.0,-14.0
Sulaymaniyah,2015-03-26,53.100833333333334,0.06358333333333334,0,1094,304,14,368.0,0.0,52.844375,0.04706250000000001,10.0,1678.0,807.0,772.0,0.0,-584.0,-503.0,4.0,-404.0
Kerbala,2015-03-26,65.3,0.06916666666666667,0,104,26,3,1.0,0.0,63.75625,0.005,1.0,156.0,86.0,4.0,0.0,-52.0,-60.0,2.0,-3.0
Kirkuk,2015-03-26,57.91458333333333,0.044375,56,708,277,22,146.0,3.0,57.965624999999996,0.01234375,44.0,267.0,512.0,27.0,53.0,441.0,-235.0,-22.0,119.0
Missan,2015-03-26,68.74166666666666,0.024999999999999998,10,63,25,1,2.0,0.0,65.48645833333333,0.0016666666666666668,2.0,70.0,45.0,9.0,10.0,-7.0,-20.0,-1.0,-7.0
Muthanna,2015-03-26,68.1,0.0025,0,53,41,0,4.0,1.0,65.15625,0.000625,0.0,65.0,15.0,2.0,-1.0,-12.0,26.0,0.0,2.0
Najaf,2015-03-26,66.40833333333333,0.0016666666666666668,0,236,47,3,4.0,0.0,64.45625000000001,0.0,10.0,77.0,36.0,2.0,0.0,159.0,11.0,-7.0,2.0
Ninewa,2015-03-26,53.578125,0.029895833333333333,51,2941,2161,48,654.0,96.0,52.68984375000001,0.03453125,173.0,5613.0,3073.0,367.0,-45.0,-2672.0,-912.0,-125.0,287.0
Qadissiya,2015-03-26,67.03958333333334,0.022291666666666668,0,87,23,4,7.0,0.0,64.72812499999999,0.0,2.0,135.0,18.0,0.0,0.0,-48.0,5.0,2.0,7.0
Salahal Din,2015-03-26,62.48571428571427,0.05464285714285714,57,2323,2321,175,190.0,142.0,61.54821428571429,0.0069642857142857145,459.0,3822.0,2536.0,394.0,-85.0,-1499.0,-215.0,-284.0,-204.0
Wassit,2015-03-26,66.735,0.03866666666666667,0,75,47,4,6.0,0.0,64.10625,0.00025,2.0,197.0,69.0,19.0,0.0,-122.0,-22.0,2.0,-13.0
Anbar,2015-04-10,71.38285714285715,0.013333333333333334,490,4233,2805,58,79.0,87.0,64.14642857142857,0.06095238095238095,76.0,2940.0,3844.0,58.0,403.0,1293.0,-1039.0,-18.0,21.0
Babylon,2015-04-10,71.46333333333334,0.024500000000000004,0,189,83,2,7.0,0.0,64.76250000000002,0.059166666666666666,2.0,117.0,38.0,1.0,0.0,72.0,45.0,0.0,6.0
Baghdad,2015-04-10,71.40814814814816,0.018000000000000002,159,1401,803,475,38.0,157.0,64.28981481481482,0.0625,287.0,1205.0,1253.0,55.0,2.0,196.0,-450.0,188.0,-17.0
Basrah,2015-04-10,77.48857142857143,0.0037142857142857142,7,150,219,18,10.0,13.0,69.54642857142859,0.6904761904761902,6.0,253.0,254.0,14.0,-6.0,-103.0,-35.0,12.0,-4.0
Thi Qar,2015-04-10,75.33466666666668,0.003466666666666667,3,0,0,7,0.0,4.0,68.73166666666667,0.013333333333333336,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,0.0
Diyala,2015-04-10,72.04666666666667,0.026777777777777782,23,799,549,4,154.0,16.0,64.80416666666667,0.05472222222222222,7.0,556.0,265.0,96.0,7.0,243.0,284.0,-3.0,58.0
Dahuk,2015-04-10,62.434999999999995,0.009333333333333334,0,33,11,7,1.0,0.0,53.66041666666666,0.033541666666666664,7.0,32.0,16.0,2.0,0.0,1.0,-5.0,0.0,-1.0
Erbil,2015-04-10,61.14777777777777,0.02611111111111111,0,896,256,59,73.0,0.0,52.54583333333332,0.18013888888888888,59.0,492.0,631.0,18.0,0.0,404.0,-375.0,0.0,55.0
Sulaymaniyah,2015-04-10,60.09066666666667,0.0152,0,524,63,16,88.0,0.0,53.100833333333334,0.06358333333333334,14.0,1094.0,304.0,368.0,0.0,-570.0,-241.0,2.0,-280.0
Kerbala,2015-04-10,72.86666666666666,0.0,0,50,9,6,2.0,0.0,65.3,0.06916666666666667,3.0,104.0,26.0,1.0,0.0,-54.0,-17.0,3.0,1.0
Kirkuk,2015-04-10,66.155,0.01,15,84,62,17,1.0,56.0,57.91458333333333,0.044375,22.0,708.0,277.0,146.0,-41.0,-624.0,-215.0,-5.0,-145.0
