,Date,Origin,Dest,fled
3743,2015-04-10,Salahal Din,Wassit,0
3691,2015-04-10,Kirkuk,Babylon,0
3692,2015-04-10,Kirkuk,Baghdad,1
3693,2015-04-10,Kirkuk,Basrah,7
3694,2015-04-10,Kirkuk,Dahuk,0
3695,2015-04-10,Kirkuk,Diyala,0
3696,2015-04-10,Kirkuk,Erbil,0
3690,2015-04-10,Kirkuk,Anbar,0
3697,2015-04-10,Kirkuk,Kerbala,0
3699,2015-04-10,Kirkuk,Missan,1
3700,2015-04-10,Kirkuk,Muthanna,7
3701,2015-04-10,Kirkuk,Najaf,15
3702,2015-04-10,Kirkuk,Ninewa,0
3703,2015-04-10,Kirkuk,Qadissiya,0
3704,2015-04-10,Kirkuk,Salahal Din,0
3698,2015-04-10,Kirkuk,Kirkuk,0
3705,2015-04-10,Kirkuk,Sulaymaniyah,0
3689,2015-04-10,Erbil,Wassit,0
3687,2015-04-10,Erbil,Sulaymaniyah,0
3673,2015-04-10,Erbil,Babylon,0
3674,2015-04-10,Erbil,Baghdad,0
3675,2015-04-10,Erbil,Basrah,0
3676,2015-04-10,Erbil,Dahuk,0
3677,2015-04-10,Erbil,Diyala,0
3678,2015-04-10,Erbil,Erbil,260
3688,2015-04-10,Erbil,Thi Qar,0
3679,2015-04-10,Erbil,Kerbala,0
3681,2015-04-10,Erbil,Missan,0
3682,2015-04-10,Erbil,Muthanna,0
3683,2015-04-10,Erbil,Najaf,0
3684,2015-04-10,Erbil,Ninewa,0
3685,2015-04-10,Erbil,Qadissiya,0
3686,2015-04-10,Erbil,Salahal Din,0
3680,2015-04-10,Erbil,Kirkuk,120
3706,2015-04-10,Kirkuk,Thi Qar,15
3707,2015-04-10,Kirkuk,Wassit,1
3708,2015-04-10,Ninewa,Anbar,0
3728,2015-04-10,Salahal Din,Baghdad,359
3729,2015-04-10,Salahal Din,Basrah,6
3730,2015-04-10,Salahal Din,Dahuk,50
3731,2015-04-10,Salahal Din,Diyala,7
3732,2015-04-10,Salahal Din,Erbil,158
3733,2015-04-10,Salahal Din,Kerbala,0
3727,2015-04-10,Salahal Din,Babylon,20
3734,2015-04-10,Salahal Din,Kirkuk,0
3736,2015-04-10,Salahal Din,Muthanna,0
3737,2015-04-10,Salahal Din,Najaf,32
3738,2015-04-10,Salahal Din,Ninewa,0
3739,2015-04-10,Salahal Din,Qadissiya,2
3740,2015-04-10,Salahal Din,Salahal Din,0
3741,2015-04-10,Salahal Din,Sulaymaniyah,18
3735,2015-04-10,Salahal Din,Missan,2
3726,2015-04-10,Salahal Din,Anbar,0
3725,2015-04-10,Ninewa,Wassit,29
3724,2015-04-10,Ninewa,Thi Qar,19
3709,2015-04-10,Ninewa,Babylon,87
3710,2015-04-10,Ninewa,Baghdad,236
3711,2015-04-10,Ninewa,Basrah,32
3712,2015-04-10,Ninewa,Dahuk,970
3713,2015-04-10,Ninewa,Diyala,0
3714,2015-04-10,Ninewa,Erbil,165
3715,2015-04-10,Ninewa,Kerbala,0
3716,2015-04-10,Ninewa,Kirkuk,631
3717,2015-04-10,Ninewa,Missan,11
3718,2015-04-10,Ninewa,Muthanna,441
3719,2015-04-10,Ninewa,Najaf,363
3720,2015-04-10,Ninewa,Ninewa,266
3721,2015-04-10,Ninewa,Qadissiya,72
3722,2015-04-10,Ninewa,Salahal Din,0
3723,2015-04-10,Ninewa,Sulaymaniyah,5
3672,2015-04-10,Erbil,Anbar,0
3671,2015-04-10,Diyala,Wassit,0
3742,2015-04-10,Salahal Din,Thi Qar,11
3669,2015-04-10,Diyala,Sulaymaniyah,0
3619,2015-04-10,Babylon,Babylon,133
3620,2015-04-10,Babylon,Baghdad,0
3621,2015-04-10,Babylon,Basrah,0
3622,2015-04-10,Babylon,Dahuk,0
3623,2015-04-10,Babylon,Diyala,0
3624,2015-04-10,Babylon,Erbil,0
3617,2015-04-10,Anbar,Wassit,4
3625,2015-04-10,Babylon,Kerbala,9
3627,2015-04-10,Babylon,Missan,0
3628,2015-04-10,Babylon,Muthanna,0
3629,2015-04-10,Babylon,Najaf,0
3630,2015-04-10,Babylon,Ninewa,0
3631,2015-04-10,Babylon,Qadissiya,1
3632,2015-04-10,Babylon,Salahal Din,0
3626,2015-04-10,Babylon,Kirkuk,0
3633,2015-04-10,Babylon,Sulaymaniyah,3
3616,2015-04-10,Anbar,Thi Qar,12
3614,2015-04-10,Anbar,Salahal Din,0
3600,2015-04-10,Anbar,Anbar,120
3601,2015-04-10,Anbar,Babylon,145
3602,2015-04-10,Anbar,Baghdad,564
3603,2015-04-10,Anbar,Basrah,31
3604,2015-04-10,Anbar,Dahuk,49
3605,2015-04-10,Anbar,Diyala,0
3615,2015-04-10,Anbar,Sulaymaniyah,97
3606,2015-04-10,Anbar,Erbil,157
3608,2015-04-10,Anbar,Kirkuk,7
3609,2015-04-10,Anbar,Missan,0
3610,2015-04-10,Anbar,Muthanna,42
3611,2015-04-10,Anbar,Najaf,75
3612,2015-04-10,Anbar,Ninewa,0
3613,2015-04-10,Anbar,Qadissiya,23
3607,2015-04-10,Anbar,Kerbala,14
3634,2015-04-10,Babylon,Thi Qar,0
3618,2015-04-10,Babylon,Anbar,328
3636,2015-04-10,Baghdad,Anbar,314
3655,2015-04-10,Diyala,Babylon,0
3656,2015-04-10,Diyala,Baghdad,110
3657,2015-04-10,Diyala,Basrah,1
3658,2015-04-10,Diyala,Dahuk,0
3659,2015-04-10,Diyala,Diyala,0
3660,2015-04-10,Diyala,Erbil,0
3654,2015-04-10,Diyala,Anbar,0
3661,2015-04-10,Diyala,Kerbala,7
3663,2015-04-10,Diyala,Missan,0
3664,2015-04-10,Diyala,Muthanna,4
3665,2015-04-10,Diyala,Najaf,13
3666,2015-04-10,Diyala,Ninewa,0
3667,2015-04-10,Diyala,Qadissiya,2
3635,2015-04-10,Babylon,Wassit,1
3662,2015-04-10,Diyala,Kirkuk,0
3653,2015-04-10,Baghdad,Wassit,0
3668,2015-04-10,Diyala,Salahal Din,0
3651,2015-04-10,Baghdad,Sulaymaniyah,0
3652,2015-04-10,Baghdad,Thi Qar,0
3637,2015-04-10,Baghdad,Babylon,0
3638,2015-04-10,Baghdad,Baghdad,193
3639,2015-04-10,Baghdad,Basrah,3
3640,2015-04-10,Baghdad,Dahuk,0
3641,2015-04-10,Baghdad,Diyala,0
3642,2015-04-10,Baghdad,Erbil,0
3643,2015-04-10,Baghdad,Kerbala,0
3670,2015-04-10,Diyala,Thi Qar,0
3645,2015-04-10,Baghdad,Missan,1
3646,2015-04-10,Baghdad,Muthanna,0
3647,2015-04-10,Baghdad,Najaf,4
3648,2015-04-10,Baghdad,Ninewa,0
3649,2015-04-10,Baghdad,Qadissiya,0
3650,2015-04-10,Baghdad,Salahal Din,0
3644,2015-04-10,Baghdad,Kirkuk,0
4127,2015-04-25,Kirkuk,Diyala,0
4128,2015-04-25,Kirkuk,Erbil,0
4129,2015-04-25,Kirkuk,Kerbala,0
4130,2015-04-25,Kirkuk,Kirkuk,2160
4131,2015-04-25,Kirkuk,Missan,0
4132,2015-04-25,Kirkuk,Muthanna,0
4135,2015-04-25,Kirkuk,Qadissiya,4
4134,2015-04-25,Kirkuk,Ninewa,0
4126,2015-04-25,Kirkuk,Dahuk,0
4136,2015-04-25,Kirkuk,Salahal Din,0
4137,2015-04-25,Kirkuk,Sulaymaniyah,0
4138,2015-04-25,Kirkuk,Thi Qar,0
4139,2015-04-25,Kirkuk,Wassit,1
4133,2015-04-25,Kirkuk,Najaf,0
4125,2015-04-25,Kirkuk,Basrah,4
4121,2015-04-25,Erbil,Wassit,0
4123,2015-04-25,Kirkuk,Babylon,0
4108,2015-04-25,Erbil,Dahuk,0
4109,2015-04-25,Erbil,Diyala,0
4110,2015-04-25,Erbil,Erbil,0
4111,2015-04-25,Erbil,Kerbala,0
4112,2015-04-25,Erbil,Kirkuk,0
4113,2015-04-25,Erbil,Missan,0
4124,2015-04-25,Kirkuk,Baghdad,197
4114,2015-04-25,Erbil,Muthanna,0
4140,2015-04-25,Ninewa,Anbar,0
4117,2015-04-25,Erbil,Qadissiya,0
4118,2015-04-25,Erbil,Salahal Din,0
4119,2015-04-25,Erbil,Sulaymaniyah,0
4120,2015-04-25,Erbil,Thi Qar,0
4122,2015-04-25,Kirkuk,Anbar,0
4115,2015-04-25,Erbil,Najaf,0
4116,2015-04-25,Erbil,Ninewa,0
4032,2015-04-25,Anbar,Anbar,2830
4143,2015-04-25,Ninewa,Basrah,3
4163,2015-04-25,Salahal Din,Diyala,11
4164,2015-04-25,Salahal Din,Erbil,518
4165,2015-04-25,Salahal Din,Kerbala,1
4166,2015-04-25,Salahal Din,Kirkuk,3289
4167,2015-04-25,Salahal Din,Missan,1
4168,2015-04-25,Salahal Din,Muthanna,2
4162,2015-04-25,Salahal Din,Dahuk,35
4169,2015-04-25,Salahal Din,Najaf,3
4171,2015-04-25,Salahal Din,Qadissiya,0
4172,2015-04-25,Salahal Din,Salahal Din,3234
4173,2015-04-25,Salahal Din,Sulaymaniyah,161
4174,2015-04-25,Salahal Din,Thi Qar,0
4175,2015-04-25,Salahal Din,Wassit,0
4107,2015-04-25,Erbil,Basrah,0
4170,2015-04-25,Salahal Din,Ninewa,0
4161,2015-04-25,Salahal Din,Basrah,43
4160,2015-04-25,Salahal Din,Baghdad,240
4159,2015-04-25,Salahal Din,Babylon,0
4144,2015-04-25,Ninewa,Dahuk,1107
4145,2015-04-25,Ninewa,Diyala,3
4146,2015-04-25,Ninewa,Erbil,2845
4147,2015-04-25,Ninewa,Kerbala,46
4148,2015-04-25,Ninewa,Kirkuk,775
4149,2015-04-25,Ninewa,Missan,0
4150,2015-04-25,Ninewa,Muthanna,0
4151,2015-04-25,Ninewa,Najaf,12
4152,2015-04-25,Ninewa,Ninewa,205
4153,2015-04-25,Ninewa,Qadissiya,71
4154,2015-04-25,Ninewa,Salahal Din,0
4155,2015-04-25,Ninewa,Sulaymaniyah,7
4156,2015-04-25,Ninewa,Thi Qar,9
4157,2015-04-25,Ninewa,Wassit,26
4158,2015-04-25,Salahal Din,Anbar,0
4142,2015-04-25,Ninewa,Baghdad,179
4106,2015-04-25,Erbil,Baghdad,0
4141,2015-04-25,Ninewa,Babylon,0
4105,2015-04-25,Erbil,Babylon,0
4052,2015-04-25,Babylon,Baghdad,95
4053,2015-04-25,Babylon,Basrah,1
4054,2015-04-25,Babylon,Dahuk,0
4055,2015-04-25,Babylon,Diyala,0
4056,2015-04-25,Babylon,Erbil,0
4057,2015-04-25,Babylon,Kerbala,16
4051,2015-04-25,Babylon,Babylon,0
4058,2015-04-25,Babylon,Kirkuk,0
4060,2015-04-25,Babylon,Muthanna,0
4061,2015-04-25,Babylon,Najaf,0
4062,2015-04-25,Babylon,Ninewa,0
4063,2015-04-25,Babylon,Qadissiya,0
4064,2015-04-25,Babylon,Salahal Din,0
4065,2015-04-25,Babylon,Sulaymaniyah,49
4059,2015-04-25,Babylon,Missan,0
4050,2015-04-25,Babylon,Anbar,0
4049,2015-04-25,Anbar,Wassit,104
4048,2015-04-25,Anbar,Thi Qar,16
4104,2015-04-25,Erbil,Anbar,0
4034,2015-04-25,Anbar,Baghdad,8598
