Date,Origin,Dest,fled
4/10/2015,Anbar,Baghdad,90
4/10/2015,Anbar,Baghdad,0
4/10/2015,Anbar,Baghdad,250
4/10/2015,Anbar,Baghdad,0
4/10/2015,Anbar,Baghdad,82
4/10/2015,Anbar,Baghdad,0
4/10/2015,Anbar,Baghdad,0
4/10/2015,Anbar,Baghdad,142
4/10/2015,Anbar,Baghdad,0
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Anbar,120
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Anbar,0
4/10/2015,Anbar,Basrah,2
4/10/2015,Anbar,Basrah,14
4/10/2015,Anbar,Basrah,0
4/10/2015,Anbar,Basrah,1
4/10/2015,Anbar,Basrah,0
4/10/2015,Anbar,Basrah,14
4/10/2015,Anbar,Basrah,0
4/10/2015,Anbar,Muthanna,42
4/10/2015,Anbar,Muthanna,0
4/10/2015,Anbar,Muthanna,0
4/10/2015,Anbar,Qadissiya,12
4/10/2015,Anbar,Qadissiya,8
4/10/2015,Anbar,Qadissiya,0
4/10/2015,Anbar,Qadissiya,3
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,59
4/10/2015,Anbar,Sulaymaniyah,18
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,0
4/10/2015,Anbar,Sulaymaniyah,20
4/10/2015,Anbar,Babylon,0
4/10/2015,Anbar,Babylon,2
4/10/2015,Anbar,Babylon,51
4/10/2015,Anbar,Babylon,92
4/10/2015,Anbar,Dahuk,0
4/10/2015,Anbar,Dahuk,0
4/10/2015,Anbar,Dahuk,49
4/10/2015,Anbar,Dahuk,0
4/10/2015,Anbar,Thi Qar,0
4/10/2015,Anbar,Thi Qar,0
4/10/2015,Anbar,Thi Qar,12
4/10/2015,Anbar,Thi Qar,0
4/10/2015,Anbar,Thi Qar,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Diyala,0
4/10/2015,Anbar,Erbil,0
4/10/2015,Anbar,Erbil,157
4/10/2015,Anbar,Erbil,0
4/10/2015,Anbar,Kirkuk,0
4/10/2015,Anbar,Erbil,0
4/10/2015,Anbar,Erbil,0
4/10/2015,Anbar,Erbil,0
4/10/2015,Anbar,Kerbala,0
4/10/2015,Anbar,Kerbala,14
4/10/2015,Anbar,Kerbala,0
4/10/2015,Anbar,Kirkuk,0
4/10/2015,Anbar,Kirkuk,7
4/10/2015,Anbar,Kirkuk,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Missan,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Ninewa,0
4/10/2015,Anbar,Wassit,2
4/10/2015,Anbar,Wassit,2
4/10/2015,Anbar,Wassit,0
4/10/2015,Anbar,Wassit,0
4/10/2015,Anbar,Wassit,0
4/10/2015,Anbar,Najaf,58
4/10/2015,Anbar,Najaf,0
4/10/2015,Anbar,Najaf,17
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Anbar,Salahal Din,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Baghdad,0
4/10/2015,Babylon,Anbar,119
4/10/2015,Babylon,Anbar,0
4/10/2015,Babylon,Anbar,209
4/10/2015,Babylon,Anbar,0
4/10/2015,Babylon,Anbar,0
4/10/2015,Babylon,Anbar,0
4/10/2015,Babylon,Anbar,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Basrah,0
4/10/2015,Babylon,Muthanna,0
4/10/2015,Babylon,Muthanna,0
4/10/2015,Babylon,Muthanna,0
4/10/2015,Babylon,Qadissiya,1
4/10/2015,Babylon,Qadissiya,0
4/10/2015,Babylon,Qadissiya,0
4/10/2015,Babylon,Qadissiya,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,0
4/10/2015,Babylon,Sulaymaniyah,3
4/10/2015,Babylon,Babylon,0
4/10/2015,Babylon,Babylon,0
4/10/2015,Babylon,Babylon,76
4/10/2015,Babylon,Babylon,57
4/10/2015,Babylon,Dahuk,0
4/10/2015,Babylon,Dahuk,0
4/10/2015,Babylon,Dahuk,0
4/10/2015,Babylon,Dahuk,0
4/10/2015,Babylon,Thi Qar,0
4/10/2015,Babylon,Thi Qar,0
4/10/2015,Babylon,Thi Qar,0
4/10/2015,Babylon,Thi Qar,0
4/10/2015,Babylon,Thi Qar,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Diyala,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Kirkuk,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Erbil,0
4/10/2015,Babylon,Kerbala,0
4/10/2015,Babylon,Kerbala,9
4/10/2015,Babylon,Kerbala,0
4/10/2015,Babylon,Kirkuk,0
4/10/2015,Babylon,Kirkuk,0
4/10/2015,Babylon,Kirkuk,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Missan,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Ninewa,0
4/10/2015,Babylon,Wassit,0
4/10/2015,Babylon,Wassit,0
4/10/2015,Babylon,Wassit,0
4/10/2015,Babylon,Wassit,1
4/10/2015,Babylon,Wassit,0
4/10/2015,Babylon,Najaf,0
4/10/2015,Babylon,Najaf,0
4/10/2015,Babylon,Najaf,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Babylon,Salahal Din,0
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Baghdad,117
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Baghdad,60
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Baghdad,16
4/10/2015,Baghdad,Baghdad,0
4/10/2015,Baghdad,Anbar,123
4/10/2015,Baghdad,Anbar,0
4/10/2015,Baghdad,Anbar,191
4/10/2015,Baghdad,Anbar,0
4/10/2015,Baghdad,Anbar,0
4/10/2015,Baghdad,Anbar,0
4/10/2015,Baghdad,Anbar,0
4/10/2015,Baghdad,Basrah,2
4/10/2015,Baghdad,Basrah,1
4/10/2015,Baghdad,Basrah,0
4/10/2015,Baghdad,Basrah,0
4/10/2015,Baghdad,Basrah,0
4/10/2015,Baghdad,Basrah,0
4/10/2015,Baghdad,Basrah,0
4/10/2015,Baghdad,Muthanna,0
4/10/2015,Baghdad,Muthanna,0
4/10/2015,Baghdad,Muthanna,0
4/10/2015,Baghdad,Qadissiya,0
4/10/2015,Baghdad,Qadissiya,0
4/10/2015,Baghdad,Qadissiya,0
4/10/2015,Baghdad,Qadissiya,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Sulaymaniyah,0
4/10/2015,Baghdad,Babylon,0
4/10/2015,Baghdad,Babylon,0
4/10/2015,Baghdad,Babylon,0
4/10/2015,Baghdad,Babylon,0
4/10/2015,Baghdad,Dahuk,0
4/10/2015,Baghdad,Dahuk,0
4/10/2015,Baghdad,Dahuk,0
4/10/2015,Baghdad,Dahuk,0
4/10/2015,Baghdad,Thi Qar,0
4/10/2015,Baghdad,Thi Qar,0
4/10/2015,Baghdad,Thi Qar,0
4/10/2015,Baghdad,Thi Qar,0
4/10/2015,Baghdad,Thi Qar,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Diyala,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Kirkuk,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Erbil,0
4/10/2015,Baghdad,Kerbala,0
4/10/2015,Baghdad,Kerbala,0
4/10/2015,Baghdad,Kerbala,0
4/10/2015,Baghdad,Kirkuk,0
4/10/2015,Baghdad,Kirkuk,0
4/10/2015,Baghdad,Kirkuk,0
4/10/2015,Baghdad,Missan,1
4/10/2015,Baghdad,Missan,0
4/10/2015,Baghdad,Missan,0
4/10/2015,Baghdad,Missan,0
4/10/2015,Baghdad,Missan,0
4/10/2015,Baghdad,Missan,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Ninewa,0
4/10/2015,Baghdad,Wassit,0
4/10/2015,Baghdad,Wassit,0
4/10/2015,Baghdad,Wassit,0
4/10/2015,Baghdad,Wassit,0
4/10/2015,Baghdad,Wassit,0
4/10/2015,Baghdad,Najaf,1
4/10/2015,Baghdad,Najaf,0
4/10/2015,Baghdad,Najaf,3
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Baghdad,Salahal Din,0
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Baghdad,104
4/10/2015,Diyala,Baghdad,5
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Baghdad,1
4/10/2015,Diyala,Baghdad,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Anbar,0
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Basrah,1
4/10/2015,Diyala,Basrah,0
4/10/2015,Diyala,Muthanna,4
4/10/2015,Diyala,Muthanna,0
4/10/2015,Diyala,Muthanna,0
4/10/2015,Diyala,Qadissiya,0
4/10/2015,Diyala,Qadissiya,0
4/10/2015,Diyala,Qadissiya,0
4/10/2015,Diyala,Qadissiya,2
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Sulaymaniyah,0
4/10/2015,Diyala,Babylon,0
4/10/2015,Diyala,Babylon,0
4/10/2015,Diyala,Babylon,0
4/10/2015,Diyala,Babylon,0
4/10/2015,Diyala,Dahuk,0
4/10/2015,Diyala,Dahuk,0
4/10/2015,Diyala,Dahuk,0
4/10/2015,Diyala,Dahuk,0
4/10/2015,Diyala,Thi Qar,0
4/10/2015,Diyala,Thi Qar,0
4/10/2015,Diyala,Thi Qar,0
4/10/2015,Diyala,Thi Qar,0
4/10/2015,Diyala,Thi Qar,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Diyala,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Kirkuk,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Erbil,0
4/10/2015,Diyala,Kerbala,0
4/10/2015,Diyala,Kerbala,0
4/10/2015,Diyala,Kerbala,7
4/10/2015,Diyala,Kirkuk,0
4/10/2015,Diyala,Kirkuk,0
4/10/2015,Diyala,Kirkuk,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Missan,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Ninewa,0
4/10/2015,Diyala,Wassit,0
4/10/2015,Diyala,Wassit,0
4/10/2015,Diyala,Wassit,0
4/10/2015,Diyala,Wassit,0
4/10/2015,Diyala,Wassit,0
4/10/2015,Diyala,Najaf,1
4/10/2015,Diyala,Najaf,10
4/10/2015,Diyala,Najaf,2
