fromGov,toGov,Date,numofFam,year,month,day,numofFamDiff
Salah al-Din,Thi-Qar,2018-01-31,55,2018,1,31,0
Babylon,Thi-Qar,2018-01-31,7,2018,1,31,0
Babylon,Wassit,2018-01-31,20,2018,1,31,0
Baghdad,Anbar,2018-01-31,24,2018,1,31,0
Baghdad,Babylon,2018-01-31,86,2018,1,31,0
Baghdad,Baghdad,2018-01-31,168,2018,1,31,0
Baghdad,Basrah,2018-01-31,31,2018,1,31,0
Baghdad,Dahuk,2018-01-31,47,2018,1,31,0
Baghdad,Diyala,2018-01-31,61,2018,1,31,0
Baghdad,Erbil,2018-01-31,576,2018,1,31,0
Baghdad,Kerbala,2018-01-31,28,2018,1,31,0
Baghdad,Kirkuk,2018-01-31,125,2018,1,31,0
Baghdad,Missan,2018-01-31,27,2018,1,31,0
Babylon,Sulaymaniyah,2018-01-31,943,2018,1,31,0
Baghdad,Muthanna,2018-01-31,29,2018,1,31,0
Baghdad,Qadissiya,2018-01-31,65,2018,1,31,0
Baghdad,Sulaymaniyah,2018-01-31,3055,2018,1,31,0
Baghdad,Thi-Qar,2018-01-31,7,2018,1,31,0
Baghdad,Wassit,2018-01-31,62,2018,1,31,0
Diyala,Babylon,2018-01-31,28,2018,1,31,0
Diyala,Baghdad,2018-01-31,511,2018,1,31,0
Diyala,Basrah,2018-01-31,44,2018,1,31,0
Diyala,Diyala,2018-01-31,9506,2018,1,31,0
Diyala,Erbil,2018-01-31,234,2018,1,31,0
Diyala,Kerbala,2018-01-31,25,2018,1,31,0
Diyala,Kirkuk,2018-01-31,418,2018,1,31,0
Diyala,Missan,2018-01-31,16,2018,1,31,0
Baghdad,Najaf,2018-01-31,12,2018,1,31,0
Diyala,Muthanna,2018-01-31,8,2018,1,31,0
Babylon,Qadissiya,2018-01-31,14,2018,1,31,0
Babylon,Missan,2018-01-31,7,2018,1,31,0
Salah al-Din,Wassit,2018-01-31,307,2018,1,31,0
Anbar,Anbar,2018-01-31,14656,2018,1,31,0
Anbar,Babylon,2018-01-31,298,2018,1,31,0
Anbar,Baghdad,2018-01-31,16982,2018,1,31,0
Anbar,Basrah,2018-01-31,290,2018,1,31,0
Anbar,Dahuk,2018-01-31,138,2018,1,31,0
Anbar,Diyala,2018-01-31,328,2018,1,31,0
Anbar,Erbil,2018-01-31,13995,2018,1,31,0
Anbar,Kerbala,2018-01-31,121,2018,1,31,0
Anbar,Kirkuk,2018-01-31,1819,2018,1,31,0
Anbar,Missan,2018-01-31,30,2018,1,31,0
Anbar,Muthanna,2018-01-31,80,2018,1,31,0
Babylon,Ninewa,2018-01-31,5,2018,1,31,0
Anbar,Najaf,2018-01-31,237,2018,1,31,0
Anbar,Qadissiya,2018-01-31,283,2018,1,31,0
Anbar,Salah al-Din,2018-01-31,215,2018,1,31,0
Anbar,Sulaymaniyah,2018-01-31,8987,2018,1,31,0
Anbar,Thi-Qar,2018-01-31,157,2018,1,31,0
Anbar,Wassit,2018-01-31,243,2018,1,31,0
Babylon,Anbar,2018-01-31,511,2018,1,31,0
