,2015-06-04,2015-06-22,2015-07-02,2015-07-13,2015-07-30,2015-08-13,2015-08-27,2015-09-10,2015-09-29,2015-10-22,2015-11-05,2015-11-19,2015-12-03,2015-12-17,2016-01-07,2016-01-21,2016-02-04,2016-02-17,2016-03-02,2016-03-17,2016-03-31,2016-04-14,2016-04-28,2016-05-12,2016-05-26,2016-06-08,2016-06-22,2016-07-03,2016-07-22,2016-08-03,2016-08-17,2016-09-01,2016-09-15,2016-09-28,2016-10-13,2016-10-27,2016-11-09,2016-11-24,2016-12-08,2016-12-22
Families,20937.0,21239.0,21191.0,21189.0,20869.0,20291.0,19976.0,19314.0,18587.0,18528.0,18093.0,17599.0,18333.0,18487.0,17823.0,17228.0,17347.0,17555.0,17164.0,17040.0,16823.0,16350.0,16335.0,16384.0,16255.0,15359.0,15318.0,14856.0,14807.0,14793.0,14755.0,14563.0,14338.0,14177.0,13966.0,13683.0,13294.0,13384.0,13286.0,13147.0
deaths,55.0,66.0,22.0,160.0,58.0,143.0,22.0,44.0,58.0,121.0,34.0,42.0,29.0,27.0,45.0,91.0,38.0,38.0,68.0,37.0,38.0,25.0,53.0,53.0,37.0,85.0,26.0,45.0,59.0,58.0,43.0,26.0,33.0,29.0,38.0,28.0,31.0,22.0,10.0,22.0
Anbar_distKm,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
Babylon_distKm,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0
Baghdad_distKm,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
Basrah_distKm,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0
Dahuk_distKm,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
Diyala_distKm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erbil_distKm,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0
Kerbala_distKm,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0
Kirkuk_distKm,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
Missan_distKm,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
