Date,death,dist,ADM3CODE,ADM3NAME
2017-12-31,25,Adhamiya,iq01003,Adhamiya
2017-09-19,50,Adhamiya,iq01003,Adhamiya
2018-08-12,2,Adhamiya,iq01003,Adhamiya
2018-07-25,3,Adhamiya,iq01003,Adhamiya
2018-07-19,1,Adhamiya,iq01003,Adhamiya
2003-04-05,85,Adhamiya,iq01003,Adhamiya
2006-03-04,1,Adhamiya,iq01003,Adhamiya
2007-04-17,1,Adhamiya,iq01003,Adhamiya
2007-05-05,1,Adhamiya,iq01003,Adhamiya
2009-12-08,127,Adhamiya,iq01003,Adhamiya
2014-06-04,2,Adhamiya,iq01003,Adhamiya
2006-03-14,1,Adhamiya,iq01003,Adhamiya
2017-12-31,7,Al-Daur,iq18011,Al-Daur
2017-12-29,1,Al-Daur,iq18011,Al-Daur
2017-12-14,2,Al-Daur,iq18011,Al-Daur
2017-09-02,16,Al-Daur,iq18011,Al-Daur
2017-07-27,11,Al-Daur,iq18011,Al-Daur
2017-05-02,2,Al-Daur,iq18011,Al-Daur
2017-02-28,1,Al-Daur,iq18011,Al-Daur
2017-01-02,7,Al-Daur,iq18011,Al-Daur
2018-10-29,1,Al-Daur,iq18011,Al-Daur
2018-08-06,3,Al-Daur,iq18011,Al-Daur
2018-06-26,1,Al-Daur,iq18011,Al-Daur
2006-09-10,3,Al-Daur,iq18011,Al-Daur
2008-01-01,1,Al-Daur,iq18011,Al-Daur
2005-08-05,1,Al-Daur,iq18011,Al-Daur
2014-12-10,4,Al-Daur,iq18011,Al-Daur
2015-02-27,2,Al-Daur,iq18011,Al-Daur
2007-09-11,1,Al-Daur,iq18011,Al-Daur
2008-02-10,1,Al-Daur,iq18011,Al-Daur
2011-06-08,1,Al-Daur,iq18011,Al-Daur
2011-11-29,5,Al-Daur,iq18011,Al-Daur
2015-07-08,50,Al-Daur,iq18011,Al-Daur
2009-04-03,1,Al-Daur,iq18011,Al-Daur
2003-05-26,4,Al-Daur,iq18011,Al-Daur
2003-05-28,2,Al-Daur,iq18011,Al-Daur
2003-06-18,1,Al-Daur,iq18011,Al-Daur
2003-07-19,1,Al-Daur,iq18011,Al-Daur
2003-08-19,1,Al-Daur,iq18011,Al-Daur
2003-10-13,1,Al-Daur,iq18011,Al-Daur
2003-10-27,9,Al-Daur,iq18011,Al-Daur
2003-11-30,6,Al-Daur,iq18011,Al-Daur
2003-12-06,1,Al-Daur,iq18011,Al-Daur
2003-12-15,1,Al-Daur,iq18011,Al-Daur
2003-12-21,1,Al-Daur,iq18011,Al-Daur
2004-01-03,1,Al-Daur,iq18011,Al-Daur
2004-01-24,4,Al-Daur,iq18011,Al-Daur
2004-01-28,4,Al-Daur,iq18011,Al-Daur
2004-02-16,3,Al-Daur,iq18011,Al-Daur
2004-03-10,2,Al-Daur,iq18011,Al-Daur
2004-03-28,2,Al-Daur,iq18011,Al-Daur
2004-04-04,3,Al-Daur,iq18011,Al-Daur
2004-04-19,2,Al-Daur,iq18011,Al-Daur
2004-05-30,3,Al-Daur,iq18011,Al-Daur
2004-06-05,2,Al-Daur,iq18011,Al-Daur
2004-07-09,2,Al-Daur,iq18011,Al-Daur
2004-07-17,2,Al-Daur,iq18011,Al-Daur
2004-07-21,7,Al-Daur,iq18011,Al-Daur
2004-07-22,1,Al-Daur,iq18011,Al-Daur
2004-07-23,1,Al-Daur,iq18011,Al-Daur
2004-07-31,2,Al-Daur,iq18011,Al-Daur
2004-08-06,2,Al-Daur,iq18011,Al-Daur
2004-08-11,2,Al-Daur,iq18011,Al-Daur
2004-08-24,1,Al-Daur,iq18011,Al-Daur
2004-08-30,5,Al-Daur,iq18011,Al-Daur
2004-08-31,2,Al-Daur,iq18011,Al-Daur
2004-09-07,1,Al-Daur,iq18011,Al-Daur
2004-09-12,5,Al-Daur,iq18011,Al-Daur
2004-09-18,3,Al-Daur,iq18011,Al-Daur
2004-09-19,1,Al-Daur,iq18011,Al-Daur
2004-09-20,1,Al-Daur,iq18011,Al-Daur
2004-09-22,4,Al-Daur,iq18011,Al-Daur
2004-09-24,3,Al-Daur,iq18011,Al-Daur
2004-09-27,3,Al-Daur,iq18011,Al-Daur
2004-10-01,48,Al-Daur,iq18011,Al-Daur
2004-10-12,3,Al-Daur,iq18011,Al-Daur
2004-10-20,10,Al-Daur,iq18011,Al-Daur
2004-10-23,3,Al-Daur,iq18011,Al-Daur
2004-10-29,1,Al-Daur,iq18011,Al-Daur
2004-11-05,2,Al-Daur,iq18011,Al-Daur
2004-11-06,30,Al-Daur,iq18011,Al-Daur
2004-11-09,1,Al-Daur,iq18011,Al-Daur
2004-11-11,1,Al-Daur,iq18011,Al-Daur
2004-11-13,1,Al-Daur,iq18011,Al-Daur
2004-11-18,4,Al-Daur,iq18011,Al-Daur
2004-11-19,2,Al-Daur,iq18011,Al-Daur
2004-11-23,1,Al-Daur,iq18011,Al-Daur
2004-11-24,2,Al-Daur,iq18011,Al-Daur
2004-11-25,2,Al-Daur,iq18011,Al-Daur
2004-11-26,1,Al-Daur,iq18011,Al-Daur
2004-11-28,6,Al-Daur,iq18011,Al-Daur
2004-12-04,2,Al-Daur,iq18011,Al-Daur
2004-12-08,6,Al-Daur,iq18011,Al-Daur
2004-12-09,1,Al-Daur,iq18011,Al-Daur
2004-12-10,1,Al-Daur,iq18011,Al-Daur
2004-12-13,3,Al-Daur,iq18011,Al-Daur
2004-12-15,1,Al-Daur,iq18011,Al-Daur
2004-12-17,4,Al-Daur,iq18011,Al-Daur
2004-12-20,2,Al-Daur,iq18011,Al-Daur
2004-12-25,5,Al-Daur,iq18011,Al-Daur
2004-12-26,1,Al-Daur,iq18011,Al-Daur
2004-12-28,22,Al-Daur,iq18011,Al-Daur
2004-12-29,5,Al-Daur,iq18011,Al-Daur
2005-01-01,1,Al-Daur,iq18011,Al-Daur
2005-01-02,7,Al-Daur,iq18011,Al-Daur
2005-01-03,1,Al-Daur,iq18011,Al-Daur
2005-01-04,2,Al-Daur,iq18011,Al-Daur
2005-01-05,6,Al-Daur,iq18011,Al-Daur
2005-01-08,4,Al-Daur,iq18011,Al-Daur
2005-01-09,1,Al-Daur,iq18011,Al-Daur
2005-01-11,1,Al-Daur,iq18011,Al-Daur
2005-01-13,1,Al-Daur,iq18011,Al-Daur
2005-01-16,5,Al-Daur,iq18011,Al-Daur
2005-01-24,1,Al-Daur,iq18011,Al-Daur
2005-01-26,3,Al-Daur,iq18011,Al-Daur
2005-01-27,4,Al-Daur,iq18011,Al-Daur
2005-01-28,1,Al-Daur,iq18011,Al-Daur
2005-01-29,4,Al-Daur,iq18011,Al-Daur
2005-02-02,1,Al-Daur,iq18011,Al-Daur
2005-02-05,3,Al-Daur,iq18011,Al-Daur
2005-02-06,1,Al-Daur,iq18011,Al-Daur
2005-02-07,4,Al-Daur,iq18011,Al-Daur
2005-02-09,4,Al-Daur,iq18011,Al-Daur
2005-02-11,6,Al-Daur,iq18011,Al-Daur
2005-02-12,2,Al-Daur,iq18011,Al-Daur
2005-02-14,2,Al-Daur,iq18011,Al-Daur
2005-02-15,1,Al-Daur,iq18011,Al-Daur
2005-02-17,4,Al-Daur,iq18011,Al-Daur
2005-02-18,3,Al-Daur,iq18011,Al-Daur
2005-02-19,2,Al-Daur,iq18011,Al-Daur
2005-02-20,1,Al-Daur,iq18011,Al-Daur
2005-02-21,3,Al-Daur,iq18011,Al-Daur
2005-02-22,3,Al-Daur,iq18011,Al-Daur
2005-03-02,1,Al-Daur,iq18011,Al-Daur
2005-03-04,3,Al-Daur,iq18011,Al-Daur
2005-03-20,4,Al-Daur,iq18011,Al-Daur
2005-03-27,1,Al-Daur,iq18011,Al-Daur
2005-03-28,1,Al-Daur,iq18011,Al-Daur
2005-03-31,5,Al-Daur,iq18011,Al-Daur
2005-04-11,4,Al-Daur,iq18011,Al-Daur
2005-04-12,1,Al-Daur,iq18011,Al-Daur
2005-04-15,2,Al-Daur,iq18011,Al-Daur
2005-04-23,1,Al-Daur,iq18011,Al-Daur
2005-04-28,1,Al-Daur,iq18011,Al-Daur
2005-04-29,2,Al-Daur,iq18011,Al-Daur
2005-05-03,3,Al-Daur,iq18011,Al-Daur
2005-05-07,1,Al-Daur,iq18011,Al-Daur
2005-05-14,5,Al-Daur,iq18011,Al-Daur
2005-05-16,1,Al-Daur,iq18011,Al-Daur
2005-05-17,1,Al-Daur,iq18011,Al-Daur
2005-05-19,2,Al-Daur,iq18011,Al-Daur
2005-05-23,2,Al-Daur,iq18011,Al-Daur
2005-05-25,1,Al-Daur,iq18011,Al-Daur
2005-05-28,1,Al-Daur,iq18011,Al-Daur
2005-06-01,2,Al-Daur,iq18011,Al-Daur
2005-06-03,3,Al-Daur,iq18011,Al-Daur
2005-06-05,3,Al-Daur,iq18011,Al-Daur
2005-06-17,2,Al-Daur,iq18011,Al-Daur
2005-06-19,1,Al-Daur,iq18011,Al-Daur
2005-06-21,3,Al-Daur,iq18011,Al-Daur
2005-06-24,1,Al-Daur,iq18011,Al-Daur
2005-06-25,11,Al-Daur,iq18011,Al-Daur
2005-06-26,1,Al-Daur,iq18011,Al-Daur
2005-07-05,1,Al-Daur,iq18011,Al-Daur
2005-07-07,2,Al-Daur,iq18011,Al-Daur
2005-07-08,1,Al-Daur,iq18011,Al-Daur
2005-07-16,1,Al-Daur,iq18011,Al-Daur
2005-07-18,2,Al-Daur,iq18011,Al-Daur
2005-07-19,1,Al-Daur,iq18011,Al-Daur
2005-07-24,3,Al-Daur,iq18011,Al-Daur
2005-07-28,2,Al-Daur,iq18011,Al-Daur
2005-07-30,11,Al-Daur,iq18011,Al-Daur
2005-08-02,1,Al-Daur,iq18011,Al-Daur
2005-08-03,1,Al-Daur,iq18011,Al-Daur
2005-08-07,3,Al-Daur,iq18011,Al-Daur
2005-08-08,5,Al-Daur,iq18011,Al-Daur
2005-08-11,3,Al-Daur,iq18011,Al-Daur
2005-08-13,4,Al-Daur,iq18011,Al-Daur
2005-08-14,2,Al-Daur,iq18011,Al-Daur
2005-08-17,1,Al-Daur,iq18011,Al-Daur
2005-08-20,6,Al-Daur,iq18011,Al-Daur
2005-08-21,2,Al-Daur,iq18011,Al-Daur
2005-08-24,3,Al-Daur,iq18011,Al-Daur
2005-08-26,1,Al-Daur,iq18011,Al-Daur
2005-08-28,2,Al-Daur,iq18011,Al-Daur
2005-08-29,1,Al-Daur,iq18011,Al-Daur
2005-08-31,1,Al-Daur,iq18011,Al-Daur
2005-09-03,4,Al-Daur,iq18011,Al-Daur
2005-09-04,3,Al-Daur,iq18011,Al-Daur
2005-09-10,1,Al-Daur,iq18011,Al-Daur
2005-09-14,1,Al-Daur,iq18011,Al-Daur
2005-09-15,3,Al-Daur,iq18011,Al-Daur
2005-09-17,1,Al-Daur,iq18011,Al-Daur
2005-09-20,1,Al-Daur,iq18011,Al-Daur
2005-09-22,1,Al-Daur,iq18011,Al-Daur
2005-09-25,15,Al-Daur,iq18011,Al-Daur
2005-09-28,3,Al-Daur,iq18011,Al-Daur
2005-09-29,1,Al-Daur,iq18011,Al-Daur
2005-10-01,1,Al-Daur,iq18011,Al-Daur
2005-10-08,1,Al-Daur,iq18011,Al-Daur
2005-10-09,2,Al-Daur,iq18011,Al-Daur
2005-10-10,3,Al-Daur,iq18011,Al-Daur
2005-10-11,1,Al-Daur,iq18011,Al-Daur
2005-10-16,1,Al-Daur,iq18011,Al-Daur
2005-10-17,2,Al-Daur,iq18011,Al-Daur
2005-10-18,3,Al-Daur,iq18011,Al-Daur
2005-10-19,6,Al-Daur,iq18011,Al-Daur
2005-10-20,2,Al-Daur,iq18011,Al-Daur
2005-10-30,1,Al-Daur,iq18011,Al-Daur
2005-11-04,1,Al-Daur,iq18011,Al-Daur
2005-11-07,1,Al-Daur,iq18011,Al-Daur
2005-11-13,1,Al-Daur,iq18011,Al-Daur
2005-11-23,1,Al-Daur,iq18011,Al-Daur
2005-11-24,1,Al-Daur,iq18011,Al-Daur
2005-11-25,3,Al-Daur,iq18011,Al-Daur
2005-11-26,5,Al-Daur,iq18011,Al-Daur
2005-12-01,1,Al-Daur,iq18011,Al-Daur
2005-12-03,1,Al-Daur,iq18011,Al-Daur
2005-12-07,1,Al-Daur,iq18011,Al-Daur
2005-12-12,1,Al-Daur,iq18011,Al-Daur
2005-12-13,1,Al-Daur,iq18011,Al-Daur
2005-12-14,1,Al-Daur,iq18011,Al-Daur
2005-12-22,7,Al-Daur,iq18011,Al-Daur
2005-12-24,7,Al-Daur,iq18011,Al-Daur
2005-12-28,2,Al-Daur,iq18011,Al-Daur
2006-01-02,1,Al-Daur,iq18011,Al-Daur
2006-01-04,3,Al-Daur,iq18011,Al-Daur
2006-01-10,6,Al-Daur,iq18011,Al-Daur
2006-01-11,2,Al-Daur,iq18011,Al-Daur
2006-01-16,2,Al-Daur,iq18011,Al-Daur
2006-01-25,1,Al-Daur,iq18011,Al-Daur
2006-01-31,2,Al-Daur,iq18011,Al-Daur
2006-02-02,1,Al-Daur,iq18011,Al-Daur
2006-02-04,1,Al-Daur,iq18011,Al-Daur
2006-02-12,1,Al-Daur,iq18011,Al-Daur
2006-02-22,3,Al-Daur,iq18011,Al-Daur
2006-03-02,4,Al-Daur,iq18011,Al-Daur
2006-03-10,3,Al-Daur,iq18011,Al-Daur
2006-04-03,1,Al-Daur,iq18011,Al-Daur
2006-04-04,2,Al-Daur,iq18011,Al-Daur
2006-04-05,1,Al-Daur,iq18011,Al-Daur
2006-04-12,1,Al-Daur,iq18011,Al-Daur
2006-04-14,1,Al-Daur,iq18011,Al-Daur
2006-04-25,1,Al-Daur,iq18011,Al-Daur
2006-04-26,1,Al-Daur,iq18011,Al-Daur
2006-04-27,1,Al-Daur,iq18011,Al-Daur
2006-04-30,1,Al-Daur,iq18011,Al-Daur
