Date,death,gov
2017-01-03,2,Anbar
2017-01-07,17,Anbar
2017-01-13,1,Anbar
2017-01-14,2,Anbar
2017-01-20,2,Anbar
2017-01-21,1,Anbar
2017-01-22,1,Anbar
2017-01-25,4,Anbar
2017-01-28,2,Anbar
2017-01-29,2,Anbar
2017-01-31,1,Anbar
2017-02-06,1,Anbar
2017-02-08,1,Anbar
2017-02-22,1,Anbar
2017-02-27,4,Anbar
2017-02-28,2,Anbar
2017-03-01,1,Anbar
2017-03-02,2,Anbar
2017-03-14,2,Anbar
2017-03-22,6,Anbar
2017-03-24,2,Anbar
2017-03-27,2,Anbar
2017-03-29,1,Anbar
2017-04-03,2,Anbar
2017-04-05,4,Anbar
2017-04-07,4,Anbar
2017-04-08,13,Anbar
2017-04-11,6,Anbar
2017-04-18,2,Anbar
2017-04-20,2,Anbar
2017-04-24,3,Anbar
2017-04-30,2,Anbar
2017-05-03,3,Anbar
2017-05-05,7,Anbar
2017-05-08,2,Anbar
2017-05-13,101,Anbar
2017-05-17,4,Anbar
2017-05-18,3,Anbar
2017-05-21,4,Anbar
2017-05-25,2,Anbar
2017-05-27,2,Anbar
2017-05-30,6,Anbar
2017-06-01,2,Anbar
2017-06-03,2,Anbar
2017-06-04,1,Anbar
2017-06-06,10,Anbar
2017-06-08,1,Anbar
2017-06-09,2,Anbar
2017-06-21,4,Anbar
2017-06-26,2,Anbar
2017-06-28,1,Anbar
2017-07-02,19,Anbar
2017-07-04,1,Anbar
2017-07-08,1,Anbar
2017-07-09,1,Anbar
2017-07-11,5,Anbar
2017-07-14,1,Anbar
2017-07-23,1,Anbar
2017-07-24,74,Anbar
2017-07-27,1,Anbar
2017-07-28,1,Anbar
2017-07-29,2,Anbar
2017-07-30,4,Anbar
2017-08-11,1,Anbar
2017-08-15,5,Anbar
2017-08-17,24,Anbar
2017-08-18,15,Anbar
2017-08-25,3,Anbar
2017-09-03,16,Anbar
2017-09-04,5,Anbar
2017-09-07,9,Anbar
2017-09-10,3,Anbar
2017-09-11,7,Anbar
2017-09-14,13,Anbar
2017-09-16,7,Anbar
2017-09-20,2,Anbar
2017-09-21,1,Anbar
2017-09-24,3,Anbar
2017-09-27,6,Anbar
2017-09-28,4,Anbar
2017-09-30,4,Anbar
2017-10-03,3,Anbar
2017-10-08,1,Anbar
2017-10-10,2,Anbar
2017-10-11,30,Anbar
2017-10-13,20,Anbar
2017-10-24,1,Anbar
2017-10-31,3,Anbar
2017-11-02,8,Anbar
2017-11-03,2,Anbar
2017-11-05,1,Anbar
2017-11-12,1,Anbar
2017-11-20,2,Anbar
2017-11-25,3,Anbar
2017-11-27,1,Anbar
2017-12-01,26,Anbar
2017-12-03,1,Anbar
2017-12-06,1,Anbar
2017-12-09,4,Anbar
2018-01-02,1,Anbar
2018-01-09,1,Anbar
2018-01-19,3,Anbar
2018-02-07,1,Anbar
2018-02-08,1,Anbar
2018-02-27,2,Anbar
2018-03-02,1,Anbar
2018-03-17,1,Anbar
2018-03-18,15,Anbar
2018-03-20,1,Anbar
2018-03-28,1,Anbar
2018-03-29,6,Anbar
2018-04-02,1,Anbar
2018-04-08,3,Anbar
2018-04-09,2,Anbar
2018-05-04,1,Anbar
2018-06-03,1,Anbar
2018-06-10,2,Anbar
2018-06-17,1,Anbar
2018-06-19,2,Anbar
2018-07-07,1,Anbar
2018-08-17,2,Anbar
2018-09-02,2,Anbar
2018-09-04,1,Anbar
2018-09-06,1,Anbar
2018-09-10,2,Anbar
2018-09-12,1,Anbar
