gov,Date,temp,precip,death,ArGov_sentPos,ArGov_sentNeg,Gov_eventsAll,ArGov_insVioMin_buzz,death_lag,temp_lag,precip_lag,events_lag,sentPos_lag_ar,sentNeg_lag_ar,insVioMin_buzz_lag,death_diff,sentPos_diff_ar,sentNeg_diff_ar,events_diff,insVioMin_buzz_diff,stat_prov_id
Anbar,2015-02-12,56.64183673469387,0.001224489795918367,209,2967,5113,59,308.0,83.0,50.92755102040817,0.00020408163265306123,62.0,3307.0,4137.0,133.0,126.0,-340.0,976.0,-3.0,175.0,0
Babylon,2015-02-12,58.939285714285724,0.002857142857142857,2,83,49,2,9.0,7.0,54.24107142857143,0.0,3.0,54.0,11.0,0.0,-5.0,29.0,38.0,-1.0,9.0,1
Baghdad,2015-02-12,58.294444444444444,0.0,235,1431,1489,365,93.0,163.0,52.73095238095237,0.0013492063492063493,259.0,1518.0,1936.0,69.0,72.0,-87.0,-447.0,106.0,24.0,2
Diyala,2015-02-12,58.277380952380945,0.006666666666666667,13,553,571,31,16.0,91.0,53.52738095238095,0.005595238095238096,42.0,344.0,885.0,16.0,-78.0,209.0,-314.0,-11.0,0.0,3
Erbil,2015-02-12,50.03571428571428,0.027023809523809523,1,533,721,43,29.0,1.0,47.12142857142857,0.041785714285714294,55.0,567.0,1022.0,26.0,0.0,-34.0,-301.0,-12.0,3.0,4
Kirkuk,2015-02-12,54.260714285714286,0.0071428571428571435,28,554,1517,83,61.0,12.0,50.51071428571429,0.0062499999999999995,8.0,65.0,108.0,3.0,16.0,489.0,1409.0,75.0,58.0,5
Ninewa,2015-02-12,50.97321428571429,0.002321428571428572,95,2196,2616,43,230.0,194.0,47.97946428571429,0.045892857142857145,56.0,4197.0,2396.0,254.0,-99.0,-2001.0,220.0,-13.0,-24.0,6
Salahal Din,2015-02-12,57.41938775510204,0.006428571428571429,110,450,1457,61,33.0,118.0,52.885714285714286,0.003367346938775511,29.0,235.0,337.0,11.0,-8.0,215.0,1120.0,32.0,22.0,7
Anbar,2015-02-26,52.88061224489796,0.02408163265306123,453,3322,4576,109,345.0,209.0,56.64183673469387,0.001224489795918367,59.0,2967.0,5113.0,308.0,244.0,355.0,-537.0,50.0,37.0,0
Babylon,2015-02-26,55.5125,0.011428571428571429,0,72,28,0,6.0,2.0,58.939285714285724,0.002857142857142857,2.0,83.0,49.0,9.0,-2.0,-11.0,-21.0,-2.0,-3.0,1
Baghdad,2015-02-26,54.028571428571425,0.02023809523809524,168,1258,1227,600,311.0,235.0,58.294444444444444,0.0,365.0,1431.0,1489.0,93.0,-67.0,-173.0,-262.0,235.0,218.0,2
Diyala,2015-02-26,53.519047619047626,0.04166666666666667,26,558,184,16,59.0,13.0,58.277380952380945,0.006666666666666667,31.0,553.0,571.0,16.0,13.0,5.0,-387.0,-15.0,43.0,3
Erbil,2015-02-26,44.66785714285714,0.05107142857142858,0,576,596,68,45.0,1.0,50.03571428571428,0.027023809523809523,43.0,533.0,721.0,29.0,-1.0,43.0,-125.0,25.0,16.0,4
Kirkuk,2015-02-26,49.64107142857143,0.03232142857142857,22,250,209,20,45.0,28.0,54.260714285714286,0.0071428571428571435,83.0,554.0,1517.0,61.0,-6.0,-304.0,-1308.0,-63.0,-16.0,5
Ninewa,2015-02-26,46.13125,0.07258928571428572,41,2089,2695,74,460.0,95.0,50.97321428571429,0.002321428571428572,43.0,2196.0,2616.0,230.0,-54.0,-107.0,79.0,31.0,230.0,6
Salahal Din,2015-02-26,52.69795918367348,0.0323469387755102,73,517,440,42,118.0,110.0,57.41938775510204,0.006428571428571429,61.0,450.0,1457.0,33.0,-37.0,67.0,-1017.0,-19.0,85.0,7
Anbar,2015-03-14,62.02767857142857,0.002767857142857143,145,4564,5677,90,311.0,453.0,52.88061224489796,0.02408163265306123,109.0,3322.0,4576.0,345.0,-308.0,1242.0,1101.0,-19.0,-34.0,0
Babylon,2015-03-14,63.346875000000004,0.0009375,77,80,58,0,12.0,0.0,55.5125,0.011428571428571429,0.0,72.0,28.0,6.0,77.0,8.0,30.0,0.0,6.0,1
Baghdad,2015-03-14,62.17847222222222,0.0008333333333333334,216,1941,1438,554,126.0,168.0,54.028571428571425,0.02023809523809524,600.0,1258.0,1227.0,311.0,48.0,683.0,211.0,-46.0,-185.0,2
Diyala,2015-03-14,62.92083333333334,0.002916666666666667,79,1293,501,16,77.0,26.0,53.519047619047626,0.04166666666666667,16.0,558.0,184.0,59.0,53.0,735.0,317.0,0.0,18.0,3
Erbil,2015-03-14,52.01250000000001,0.021770833333333333,0,901,1022,68,32.0,0.0,44.66785714285714,0.05107142857142858,68.0,576.0,596.0,45.0,0.0,325.0,426.0,0.0,-13.0,4
Kirkuk,2015-03-14,57.965624999999996,0.01234375,3,267,512,44,27.0,22.0,49.64107142857143,0.03232142857142857,20.0,250.0,209.0,45.0,-19.0,17.0,303.0,24.0,-18.0,5
Ninewa,2015-03-14,52.68984375000001,0.03453125,96,5613,3073,173,367.0,41.0,46.13125,0.07258928571428572,74.0,2089.0,2695.0,460.0,55.0,3524.0,378.0,99.0,-93.0,6
Salahal Din,2015-03-14,61.54821428571429,0.0069642857142857145,142,3822,2536,459,394.0,73.0,52.69795918367348,0.0323469387755102,42.0,517.0,440.0,118.0,69.0,3305.0,2096.0,417.0,276.0,7
Anbar,2015-03-26,64.14642857142857,0.06095238095238095,87,2940,3844,76,58.0,145.0,62.02767857142857,0.002767857142857143,90.0,4564.0,5677.0,311.0,-58.0,-1624.0,-1833.0,-14.0,-253.0,0
Babylon,2015-03-26,64.76250000000002,0.059166666666666666,0,117,38,2,1.0,77.0,63.346875000000004,0.0009375,0.0,80.0,58.0,12.0,-77.0,37.0,-20.0,2.0,-11.0,1
Baghdad,2015-03-26,64.28981481481482,0.0625,157,1205,1253,287,55.0,216.0,62.17847222222222,0.0008333333333333334,554.0,1941.0,1438.0,126.0,-59.0,-736.0,-185.0,-267.0,-71.0,2
Diyala,2015-03-26,64.80416666666667,0.05472222222222222,16,556,265,7,96.0,79.0,62.92083333333334,0.002916666666666667,16.0,1293.0,501.0,77.0,-63.0,-737.0,-236.0,-9.0,19.0,3
Erbil,2015-03-26,52.54583333333332,0.18013888888888888,0,492,631,59,18.0,0.0,52.01250000000001,0.021770833333333333,68.0,901.0,1022.0,32.0,0.0,-409.0,-391.0,-9.0,-14.0,4
Kirkuk,2015-03-26,57.91458333333333,0.044375,56,708,277,22,146.0,3.0,57.965624999999996,0.01234375,44.0,267.0,512.0,27.0,53.0,441.0,-235.0,-22.0,119.0,5
Ninewa,2015-03-26,53.578125,0.029895833333333333,51,2941,2161,48,654.0,96.0,52.68984375000001,0.03453125,173.0,5613.0,3073.0,367.0,-45.0,-2672.0,-912.0,-125.0,287.0,6
Salahal Din,2015-03-26,62.48571428571427,0.05464285714285714,57,2323,2321,175,190.0,142.0,61.54821428571429,0.0069642857142857145,459.0,3822.0,2536.0,394.0,-85.0,-1499.0,-215.0,-284.0,-204.0,7
