,Date,Gov,Temp,Precip
0,2015-06-04,Anbar,93.09,0.0
1,2015-06-22,Anbar,94.57,0.0
2,2015-07-02,Anbar,94.63,0.0
3,2015-07-13,Anbar,99.96,0.0
4,2015-07-30,Anbar,102.89,0.0
5,2015-08-13,Anbar,103.95,0.0
6,2015-08-27,Anbar,101.99,0.0
7,2015-09-10,Anbar,98.7,0.0
8,2015-09-29,Anbar,95.89,0.0
9,2015-10-22,Anbar,85.71,0.0
10,2015-11-05,Anbar,73.68,0.06
11,2015-11-19,Anbar,63.76,0.05
12,2015-12-03,Anbar,60.84,0.01
13,2015-12-17,Anbar,51.05,0.01
14,2016-01-07,Anbar,52.42,0.05
15,2016-01-21,Anbar,55.91,0.0
16,2016-02-04,Anbar,50.19,0.0
17,2016-02-17,Anbar,59.61,0.06
18,2016-03-02,Anbar,67.79,0.03
19,2016-03-17,Anbar,70.08,0.0
20,2016-03-31,Anbar,69.07,0.04
21,2016-04-14,Anbar,75.32,0.04
22,2016-04-28,Anbar,83.46,0.0
23,2016-05-12,Anbar,87.31,0.0
24,2016-05-26,Anbar,93.28,0.0
25,2016-06-08,Anbar,96.64,0.0
26,2016-06-22,Anbar,98.33,0.0
27,2016-07-03,Anbar,105.02,0.0
28,2016-07-22,Anbar,105.06,0.0
29,2016-08-03,Anbar,106.27,0.0
30,2016-08-17,Anbar,106.39,0.0
31,2016-09-01,Anbar,106.21,0.0
32,2016-09-15,Anbar,99.39,0.0
33,2016-09-28,Anbar,91.46,0.0
34,2016-10-13,Anbar,86.81,0.0
35,2016-10-27,Anbar,84.12,0.0
36,2016-11-09,Anbar,74.44,0.0
37,2016-11-24,Anbar,69.25,0.0
38,2016-12-08,Anbar,52.97,0.0
39,2016-12-22,Anbar,49.57,0.0
40,2015-06-04,Babylon,93.48,0.0
41,2015-06-22,Babylon,93.23,0.0
42,2015-07-02,Babylon,93.46,0.0
43,2015-07-13,Babylon,99.9,0.0
44,2015-07-30,Babylon,102.14,0.0
45,2015-08-13,Babylon,101.65,0.0
46,2015-08-27,Babylon,100.05,0.0
47,2015-09-10,Babylon,99.04,0.0
48,2015-09-29,Babylon,93.48,0.0
49,2015-10-22,Babylon,85.94,0.0
50,2015-11-05,Babylon,73.82,0.2
51,2015-11-19,Babylon,64.56,0.12
52,2015-12-03,Babylon,60.8,0.0
53,2015-12-17,Babylon,51.15,0.01
54,2016-01-07,Babylon,51.15,0.08
55,2016-01-21,Babylon,54.67,0.09
56,2016-02-04,Babylon,50.61,0.01
57,2016-02-17,Babylon,57.12,0.01
58,2016-03-02,Babylon,64.71,0.13
59,2016-03-17,Babylon,67.02,0.0
60,2016-03-31,Babylon,67.06,0.12
61,2016-04-14,Babylon,72.23,0.05
62,2016-04-28,Babylon,79.42,0.0
63,2016-05-12,Babylon,84.34,0.01
64,2016-05-26,Babylon,88.39,0.01
65,2016-06-08,Babylon,90.97,0.0
66,2016-06-22,Babylon,94.18,0.0
67,2016-07-03,Babylon,99.78,0.2
68,2016-07-22,Babylon,99.97,0.0
69,2016-08-03,Babylon,99.72,0.0
70,2016-08-17,Babylon,99.86,0.0
71,2016-09-01,Babylon,100.28,0.0
72,2016-09-15,Babylon,93.79,0.0
73,2016-09-28,Babylon,86.71,0.0
74,2016-10-13,Babylon,81.47,0.0
75,2016-10-27,Babylon,79.56,0.0
76,2016-11-09,Babylon,71.34,0.0
77,2016-11-24,Babylon,62.81,0.0
78,2016-12-08,Babylon,50.6,0.0
79,2016-12-22,Babylon,48.69,0.0
80,2015-06-04,Baghdad,93.61,0.0
81,2015-06-22,Baghdad,94.97,0.0
82,2015-07-02,Baghdad,95.35,0.0
83,2015-07-13,Baghdad,99.94,0.0
84,2015-07-30,Baghdad,103.3,0.0
85,2015-08-13,Baghdad,103.17,0.0
86,2015-08-27,Baghdad,100.12,0.0
87,2015-09-10,Baghdad,98.63,0.0
88,2015-09-29,Baghdad,93.89,0.0
89,2015-10-22,Baghdad,85.19,0.0
90,2015-11-05,Baghdad,72.89,0.3
91,2015-11-19,Baghdad,64.07,0.11
92,2015-12-03,Baghdad,61.11,0.0
93,2015-12-17,Baghdad,51.72,0.03
94,2016-01-07,Baghdad,52.22,0.05
95,2016-01-21,Baghdad,54.71,0.01
96,2016-02-04,Baghdad,50.84,0.02
97,2016-02-17,Baghdad,56.7,0.02
98,2016-03-02,Baghdad,64.79,0.06
99,2016-03-17,Baghdad,66.92,0.0
100,2016-03-31,Baghdad,64.66,0.07
101,2016-04-14,Baghdad,72.69,0.03
102,2016-04-28,Baghdad,80.27,0.01
103,2016-05-12,Baghdad,84.12,0.17
104,2016-05-26,Baghdad,89.01,0.0
105,2016-06-08,Baghdad,90.77,0.0
106,2016-06-22,Baghdad,93.78,0.0
107,2016-07-03,Baghdad,101.12,0.0
108,2016-07-22,Baghdad,101.23,0.0
109,2016-08-03,Baghdad,101.75,0.0
110,2016-08-17,Baghdad,101.75,0.0
111,2016-09-01,Baghdad,100.04,0.0
112,2016-09-15,Baghdad,94.49,0.0
113,2016-09-28,Baghdad,88.43,0.0
114,2016-10-13,Baghdad,83.22,0.0
115,2016-10-27,Baghdad,80.35,0.0
116,2016-11-09,Baghdad,71.09,0.0
117,2016-11-24,Baghdad,63.19,0.0
118,2016-12-08,Baghdad,53.61,0.0
119,2016-12-22,Baghdad,49.23,0.0
120,2015-06-04,Basrah,100.31,0.0
121,2015-06-22,Basrah,100.63,0.0
122,2015-07-02,Basrah,97.96,0.0
123,2015-07-13,Basrah,102.53,0.0
124,2015-07-30,Basrah,105.17,0.0
125,2015-08-13,Basrah,104.57,0.0
126,2015-08-27,Basrah,103.87,0.0
